ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_153645	352	554	1361	855	44	475	1110	751	1558	583	1496	1578	2568	2583
NM_153646	5	12	13	3	1	2	27	16	42	15	7	10	16	70
NM_153647	5	12	13	3	1	2	27	16	42	15	7	10	15	71
NM_153648	5	12	13	3	1	2	26	16	42	15	7	10	16	69
NM_153649	1203	1467	3628	2302	821	1493	1729	1033	1939	862	3296	3995	4820	6228
NM_153675	211	378	261	4	7	0	130	259	388	42	445	0	0	34
NM_153681	45	86	171	41	13	40	167	73	198	65	79	26	85	296
NM_153682	44	84	174	42	56	41	165	68	194	68	77	25	83	297
NM_153686	37	59	163	95	4	208	225	126	347	101	230	60	177	345
NM_153687	71	173	371	137	209	41	182	159	392	95	349	330	132	1011
NM_153688	142	138	405	143	7	140	236	230	474	97	271	196	176	593
NM_153689	67	129	502	154	17	166	295	257	462	162	324	186	605	1223
NM_153690	116	112	234	232	638	59	164	77	246	106	244	1475	271	443
NM_153695	12	51	180	218	86	95	74	61	57	37	432	330	500	736
NM_153697	11	15	38	8	4	1	311	141	519	143	171	224	368	791
NM_153698	87	110	299	94	21	12	168	133	309	57	299	113	195	450
NM_153701	11	13	19	4	7	8	47	19	37	17	43	68	104	211
NM_153702	424	435	1316	287	16	433	696	623	1474	454	800	373	905	1269
NM_153703	101	86	263	39	193	5	340	168	340	36	225	933	26	786
NM_153704	37	51	121	50	0	22	181	144	656	70	155	112	122	520
NM_153705	324	663	1557	371	15	197	827	750	1273	313	1677	716	584	3791
NM_153706	11	50	73	57	6	4	30	65	127	33	87	10	43	113
NM_153711	21	58	77	24	3	2	49	73	85	22	64	139	20	175
NM_153712	182	163	462	443	58	267	457	358	712	279	1094	1699	1349	2375
NM_153713	47	60	104	40	9	7	269	118	448	95	274	246	162	521
NM_153717	135	118	168	58	102	53	522	440	670	168	580	1619	352	1340
NM_153718	260	302	689	642	420	589	568	385	775	249	1011	2111	1267	3197
NM_153719	265	307	704	659	420	590	589	401	802	256	1026	2181	1304	3280
NM_153741	496	435	645	503	1328	162	108	106	350	59	177	47	285	306
NM_153742	11	14	27	7	6	3	20	21	40	4	22	15	6	62
NM_153746	129	62	191	119	69	98	133	90	242	31	141	135	142	376
NM_153747	305	295	643	295	24	161	232	203	443	106	393	189	1298	641
NM_153757	85	92	231	28	22	45	57	34	168	20	79	90	78	143
NM_153758	599	486	395	15	0	3	134	86	1851	217	420	6	4	107
NM_153759	147	116	327	197	156	308	253	133	365	75	240	569	770	1145
NM_153768	33	29	54	30	2	21	34	30	68	6	25	44	51	209
NM_153769	28	28	46	26	2	20	30	16	53	3	22	32	26	146
NM_153809	66	51	221	64	1	23	182	111	332	73	243	294	216	495
NM_153810	329	313	964	487	114	309	1273	1061	2640	638	1792	2283	3389	4484
NM_153811	26	26	74	37	12	18	75	34	272	38	101	77	138	523
NM_153812	208	156	411	290	166	282	188	154	476	135	362	655	489	905
NM_153813	33	37	38	47	217	89	27	14	59	3	57	134	83	182
NM_153816	317	427	1154	346	30	263	1430	1164	3091	523	1532	912	1593	3767
NM_153818	276	279	379	229	687	572	194	191	475	123	469	415	437	656
NM_153819	78	89	240	26	91	29	209	73	176	46	93	124	22	279
NM_153824	259	373	422	203	586	103	373	359	763	134	969	701	262	1642
NM_153826	1394	1744	4424	1666	173	1098	3675	2775	7559	2520	4904	3339	6182	9472
NM_153827	349	213	671	497	1170	512	775	392	1009	404	1354	4873	4182	2821
NM_153828	1245	1499	4010	2616	597	1281	1531	1262	2667	924	2568	4459	2539	4767
NM_153831	396	540	1324	624	68	582	1906	1167	3665	671	2508	3427	2807	5448
NM_153832	120	139	295	175	81	141	308	218	482	119	470	1551	2056	1958
NM_153836	1	1	9	35	13	6	3	12	4	19	41	135	14	17
NM_153837	11	14	93	14	29	8	96	47	38	33	46	62	66	312
NM_153838	8	0	28	110	17	133	24	31	10	108	230	603	1277	176
NM_153840	10	12	85	72	8	33	85	59	38	340	89	26	483	359
NM_156039	44	149	294	130	134	27	457	313	521	354	270	768	253	1406
NM_170589	12	30	169	220	6	46	213	80	197	147	947	894	1352	3237
NM_170600	86	81	149	52	118	15	189	102	172	56	121	228	220	469
NM_170601	244	265	701	126	6	113	451	334	873	147	471	138	260	590
NM_170604	11	15	18	14	17	7	45	18	79	27	50	76	7	91
NM_170606	430	591	1405	357	30	418	4173	3545	8138	1667	6853	4520	1942	9351
NM_170607	328	460	621	628	156	424	422	231	626	174	699	843	618	1173
NM_170662	126	165	290	117	7	48	561	340	1453	257	777	770	766	1193
NM_170663	348	210	670	495	1143	512	770	392	997	397	1342	4779	4088	2752
NM_170665	1046	935	2518	1908	317	1109	3997	2588	5140	1680	6445	10943	10962	16168
NM_170672	60	113	433	46	8	29	307	177	266	110	189	176	217	904
NM_170674	89	79	305	149	15	100	123	91	220	86	282	150	156	1465
NM_170675	87	78	302	148	15	100	122	90	217	86	277	142	154	1436
NM_170676	87	78	302	148	15	100	122	90	217	86	277	142	154	1429
NM_170677	89	79	305	149	15	100	123	91	220	86	282	150	156	1472
