ID	N1	N2	N3	CA4	CA5	CA6	N7	N8	N9	N10	CA11	CA12	CA13	CA14
NM_000015	1	4	9	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000025	1	0	5	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000030	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000032	2	1	9	11	5	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000035	16	4	16	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000039	0	1	1	3	11	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000040	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000042	1	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000045	0	2	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000047	31	13	12	2	8	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000054	24	6	21	1	6	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000066	13	19	28	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000068	27	25	55	6	4	32	NA	NA	NA	NA	NA	NA	NA	NA
NM_000069	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000078	3	1	46	4	1	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000079	6	7	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000080	93	50	172	112	180	176	NA	NA	NA	NA	NA	NA	NA	NA
NM_000083	2	0	3	17	31	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000085	6	3	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000102	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000103	3	3	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000106	6	7	13	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000111	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000119	0	0	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000131	4	3	12	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000133	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000134	18	2	122	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000145	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000151	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000160	0	0	0	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000162	7	8	16	2	67	19	NA	NA	NA	NA	NA	NA	NA	NA
NM_000164	17	7	43	8	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000170	7	5	38	5	0	15	NA	NA	NA	NA	NA	NA	NA	NA
NM_000171	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000172	0	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000173	6	8	57	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000174	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000180	0	0	2	2	21	13	NA	NA	NA	NA	NA	NA	NA	NA
NM_000184	1	23	11	226	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000185	0	0	0	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000192	1	1	48	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000197	4	5	2	8	2	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000198	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000200	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000207	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000209	0	0	0	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000217	0	1	3	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000220	1	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000223	0	2	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000226	0	0	0	6	3	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000231	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000233	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000236	3	17	12	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000242	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000250	4	0	1	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000253	0	3	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000256	0	2	0	6	6	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000257	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000258	10	6	19	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000261	9	7	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000277	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000290	8	9	29	11	172	24	NA	NA	NA	NA	NA	NA	NA	NA
NM_000298	9	3	10	10	7	30	NA	NA	NA	NA	NA	NA	NA	NA
NM_000300	0	0	109	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000301	5	9	13	1	2	9	NA	NA	NA	NA	NA	NA	NA	NA
NM_000306	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000307	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000312	12	6	15	7	25	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000315	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000324	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000326	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000329	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000330	0	1	9	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000334	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000338	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000339	3	2	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000340	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000341	49	64	112	18	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000342	1	1	5	4	6	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000347	4	0	9	4	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000348	4	7	12	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000349	1	6	16	8	3	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000350	10	14	17	19	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000352	3	2	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000353	2	3	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000354	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000360	14	9	4	8	4	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000363	1	8	9	11	365	7	NA	NA	NA	NA	NA	NA	NA	NA
NM_000364	0	2	6	2	32	51	NA	NA	NA	NA	NA	NA	NA	NA
NM_000369	6	2	12	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000370	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000371	9	6	12	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000372	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000383	1	3	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000388	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000392	0	2	10	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000394	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000406	0	1	3	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA
NM_000407	9	14	14	12	69	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000409	0	2	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000412	0	0	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000415	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000420	0	0	18	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000423	2	5	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000427	0	0	2	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000429	0	2	1	8	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000432	0	1	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000438	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000440	2	0	4	1	0	8	NA	NA	NA	NA	NA	NA	NA	NA
NM_000443	7	2	57	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000446	4	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000451	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000451	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000452	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000457	7	0	10	5	20	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000460	3	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000475	2	3	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000477	0	0	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000479	0	0	2	0	7	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000482	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000486	1	0	10	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000488	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000490	1	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000496	6	13	7	31	0	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000497	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000498	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000499	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000500	146	81	176	5	29	9	NA	NA	NA	NA	NA	NA	NA	NA
NM_000500	135	65	191	6	29	15	NA	NA	NA	NA	NA	NA	NA	NA
NM_000502	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000506	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000509	2	0	5	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000510	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000513	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000513	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000514	0	1	2	13	1	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000515	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000524	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000525	0	5	3	8	8	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000529	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000530	9	11	37	17	7	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000531	1	0	17	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000536	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000539	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000541	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000542	0	0	1	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000545	58	31	41	15	21	24	NA	NA	NA	NA	NA	NA	NA	NA
NM_000547	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000549	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000550	6	6	19	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000554	0	0	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000555	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000557	3	2	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000559	1	21	4	155	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000562	7	4	11	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000567	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000583	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000586	0	1	4	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000588	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000589	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000590	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000595	20	18	103	8	15	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000596	0	2	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000605	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000606	1	3	4	5	7	12	NA	NA	NA	NA	NA	NA	NA	NA
NM_000607	24	28	123	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000608	20	18	78	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA
NM_000613	2	2	0	1	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000619	1	21	10	8	3	5	NA	NA	NA	NA	NA	NA	NA	NA
NM_000621	0	2	10	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000638	4	0	0	0	12	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000640	17	14	53	11	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000641	15	5	27	122	56	110	NA	NA	NA	NA	NA	NA	NA	NA
NM_000667	2	4	41	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000670	0	3	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000672	15	7	13	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000678	12	12	27	1	5	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000679	1	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000680	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000682	4	7	6	3	2	14	NA	NA	NA	NA	NA	NA	NA	NA
NM_000685	3	6	25	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000686	1	0	13	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000704	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000705	1	1	1	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000707	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000717	46	36	58	5	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000718	2	1	0	12	19	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000721	2	2	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000724	16	5	22	5	0	14	NA	NA	NA	NA	NA	NA	NA	NA
NM_000727	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000728	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000729	1	1	2	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000730	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000735	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000737	0	0	0	3	5	14	NA	NA	NA	NA	NA	NA	NA	NA
NM_000738	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000739	0	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000740	5	1	2	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000741	0	0	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000742	1	0	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000743	1	1	4	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000744	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000748	1	1	5	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000749	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000751	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000756	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000758	0	0	1	9	17	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000761	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000762	2	4	22	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA
NM_000764	3	1	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000765	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000766	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA
NM_000767	9	14	31	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000769	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000770	4	6	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000771	0	4	7	1	2	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000774	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000778	0	2	0	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA
NM_000780	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000783	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000787	4	4	8	0	9	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000790	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000792	0	2	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000794	5	2	33	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000795	0	9	6	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000796	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000797	2	6	2	4	4	15	NA	NA	NA	NA	NA	NA	NA	NA
NM_000798	1	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000799	0	1	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000804	6	16	36	7	14	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000805	0	0	0	0	25	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000806	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000807	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000808	0	0	0	20	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000809	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000810	1	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000811	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000812	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000815	12	14	11	2	27	7	NA	NA	NA	NA	NA	NA	NA	NA
NM_000816	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000818	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000823	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000827	0	0	9	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000830	4	3	13	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_000832	1	0	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000834	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000835	3	1	2	24	98	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000838	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000839	0	3	6	3	11	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000840	5	3	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000841	1	4	0	4	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000842	0	0	6	12	4	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000843	2	2	7	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000845	2	6	14	3	0	5	NA	NA	NA	NA	NA	NA	NA	NA
NM_000847	0	2	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000862	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000863	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000864	0	0	0	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000865	2	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000869	1	0	29	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000870	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000871	1	0	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA
NM_000879	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000882	1	4	6	1	4	6	NA	NA	NA	NA	NA	NA	NA	NA
NM_000892	7	20	18	3	1	4	NA	NA	NA	NA	NA	NA	NA	NA
NM_000893	0	0	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA
NM_000894	0	0	6	4	3	20	NA	NA	NA	NA	NA	NA	NA	NA
NM_000905	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000910	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000911	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000912	1	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000914	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000915	3	0	6	0	52	5	NA	NA	NA	NA	NA	NA	NA	NA
NM_000923	24	9	20	1	4	23	NA	NA	NA	NA	NA	NA	NA	NA
NM_000928	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000929	0	1	5	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000936	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000939	7	7	31	23	51	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000948	0	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_000955	8	19	6	4	437	25	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001317	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001325	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001343	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001344	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001346	0	1	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001394	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001412	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001413	0	0	0	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001418	18	9	38	20	44	96	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001430	0	2	6	2	32	51	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001431	0	2	6	2	32	51	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001432	0	2	6	2	32	51	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001480	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001502	0	5	5	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001524	4	3	5	3	3	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001552	7	2	43	38	3	65	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001557	0	2	8	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001567	43	10	129	10	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001568	41	8	128	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001569	41	8	128	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001570	43	10	129	10	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001571	42	10	128	10	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001572	41	8	128	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001573	42	9	130	9	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001574	42	8	129	9	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001575	41	8	128	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001576	41	8	122	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001577	42	10	128	10	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001578	42	10	128	10	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001579	42	8	129	9	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001580	41	8	122	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001581	42	9	130	9	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001582	43	11	130	10	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001584	41	8	128	9	20	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001585	43	11	130	10	21	50	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001656	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001657	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001658	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001659	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001663	9	3	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001666	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001667	0	0	0	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001670	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001671	38	52	99	34	0	37	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001673	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001674	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001676	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001694	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001709	3	2	10	11	2	0	NA	NA	NA	NA	NA	NA	NA	NA
NM_001001710	204	186	460	345	83	386	NA	NA	NA	NA	NA	NA	NA	NA
