"hgnc_symbol"
"OPN1SW",
"SIK1",
"RAB3A",
"KRT76",
"UBE2V1",
"CPXM2",
"PPP1R3C",
"AMTN",
"TXNL4B",
"NNAT",
"B3GALT2",
"ZNF285",
"DYNC1I1",
"ORAOV1",
"PTRH1",
"HUS1",
"CHST5",
"UBE2D3",
"PSG9",
"HSPA7",
"CPS1",
"RGS1",
"LINC00839",
"CLEC4F",
"IGFALS",
"PRSS54",
"MIR31HG",
"APLN",
"TCAIM",
"PARP1",
"ZDHHC8P1",
"POLL",
"RGAG1",
"ATAD3A",
"GBA3",
"ZNF696",
"CHKB-AS1",
"DCT",
"LINC00884",
"SEPT2",
"TMEM249",
"AUTS2",
"NOL4",
"MIR590",
"PET117",
"KIAA1217",
"VENTX",
"ZBTB32",
"FERMT2",
"EFTUD1",
"NOC3L",
"TMEM191C",
"CNBP",
"ZNF772",
"ASPA",
"ZNF430",
"INPP5J",
"ZFP36L1",
"TAS2R10",
"LINC01119",
"MT1F",
"MSH4",
"MGAT4D",
"SNORD83A",
"STAG3L1",
"UQCC2",
"STXBP5-AS1",
"LINC00987",
"LOC101929657",
"GPRC6A",
"WARS2",
"ACKR3",
"LINC00853",
