"","GSM2277340","GSM2277341","GSM2277342","GSM2277343","GSM2277344","GSM2277345","GSM2277346","GSM2277347","GSM2277348","GSM2277349","GSM2277350","GSM2277351","GSM2277352","GSM2277353","GSM2277354","GSM2277355","GSM2277356","GSM2277357","GSM2277358","GSM2277359","GSM2277360","GSM2277361","GSM2277362","GSM2277363","GSM2277364","GSM2277365","GSM2277366","GSM2277367","GSM2277368","GSM2277369","GSM2277370","GSM2277371","GSM2277372","GSM2277373","GSM2277374","GSM2277375","GSM2277376","GSM2277377","GSM2277378","GSM2277379","GSM2277380","GSM2277381","GSM2277382","GSM2277383","GSM2277384","GSM2277385","GSM2277386","GSM2277387","GSM2277388","GSM2277389","GSM2277390","GSM2277391","GSM2277392","GSM2277393","GSM2277394","GSM2277395","GSM2277396","GSM2277397","GSM2277398","GSM2277399","GSM2277400","GSM2277401","GSM2277402","GSM2277403","GSM2277404","GSM2277405","GSM2277406","GSM2277407","GSM2277408","GSM2277409","GSM2277410","GSM2277411","GSM2277412","GSM2277413","GSM2277414","GSM2277415","GSM2277416","GSM2277417","GSM2277418","GSM2277419","GSM2277420","GSM2277421","GSM2277422","GSM2277423","GSM2277424"
"LOC101927557",0.10375,0.0877,0.26654,0.21323,0.47582,0.10427,0.22765,0.08465,0.20226,0.21643,0.23021,0.26934,0.22588,0,0.12079,0.45961,0.36916,0.185,0.14643,0.17562,0.34626,0.03903,0.10448,0.20984,0.16343,0.27483,0.17881,0.29256,0.39466,0.06646,0.07065,0.17211,0.16499,0.15375,0,0.1958,0.22188,0.40169,0.18856,0.11828,0.13229,0.1406,0.27512,0.08951,0.29993,0.3022,0.22787,0.32723,0,0.19604,0.55417,0.40999,0.09598,0.22596,0.17905,0.31985,0.14173,0.07025,0.38248,0.08839,0.108,0.22233,0.34265,0.05355,0.14924,0.04144,0.10785,0.11312,0.44248,0.09099,0.19376,0.28431,0.21677,0,0.18824,0.27876,0.19086,0.0751,0.1226,0.14294,0.0412,0.09712,0.18124,0.26414,0.09852
"LOC101927560",4.20169,3.44962,4.49318,4.29117,4.46083,4.44896,3.71831,2.84983,5.79819,3.93895,4.43161,3.77073,5.11048,4.11113,2.76093,5.71228,5.24209,3.7462,3.6119,2.45875,3.93871,3.59034,3.62192,3.49737,3.52543,4.48894,4.53725,3.51068,4.14398,3.68867,3.67359,3.78634,4.45469,4.3049,3.43114,4.42512,4.51147,3.54828,4.31586,4.21861,2.71203,2.88236,5.41985,3.89383,6.53846,4.53301,3.84846,4.12306,2.87751,3.36064,2.88168,4.79686,2.65545,4.29324,4.55307,4.22203,3.94002,4.4608,3.18732,3.88932,3.54873,2.4456,3.03492,3.42689,3.48228,3.56409,1.67166,2.65833,3.94207,3.73075,3.55227,3.163,3.97403,3.3029,3.5227,4.85036,5.15333,3.75499,2.37028,2.8589,3.13084,5.00168,3.02067,4.32531,4.28555
"LOC101927571",0.46685,0.90626,0.64732,1.17274,0.89217,0.72991,0.53119,0.45146,1.24729,0.8657,0.28777,0.67334,1.21409,0.79731,0.37963,0.98488,0.95982,0.23125,0.65079,1.18547,0.64924,0.54636,0.73135,0.55958,0.8405,0.96191,0.71523,0.41794,0.83866,0.73109,0.84775,0.55935,0.57746,0.92248,1.00295,0.82237,0.62865,1.13813,0.81708,0.63082,0.59532,1.05452,0.82536,0.93989,1.13973,0.6044,0.37978,0.91624,0.77306,0.72814,0.665,0.81998,0.41591,1.05448,0.92085,1.08749,0.76533,0.77274,0.63746,0.61876,0.75603,0.59287,0.63635,1.0709,0.69646,0.82886,0.67406,0.73528,0.84473,0.72795,1.03339,0.63971,0.50579,0.33589,0.72605,0.52964,1.10701,1.2767,0.2452,1.07209,0.90629,0.9712,0.60413,0.39621,0.64037
"LOC101927575",0.77809,1.11089,1.75158,1.38597,1.54642,2.71108,1.74533,0.90292,1.51697,2.55382,1.66905,1.21202,1.80702,1.27071,3.74452,1.77278,2.2888,1.20248,1.25278,1.36109,1.4716,1.36589,1.35822,1.25905,1.07397,0.91611,1.67632,1.12843,1.52933,1.0634,2.22535,0.77448,1.81487,1.48621,1.31967,1.52725,0.92448,1.00423,1.278,1.6559,1.32294,0.84362,1.54067,1.61124,2.03952,1.66211,0.91148,1.37435,1.20254,0.78415,0.665,1.63995,0.92781,1.3181,1.04874,2.11102,1.27555,1.12398,2.10363,0.66295,1.55836,1.18575,1.37061,1.17799,1.14418,1.11896,0.83583,1.64025,1.72969,1.09193,1.42091,0.95956,1.22834,1.23159,1.12942,1.47741,1.90864,1.2767,1.92075,0.85767,0.94749,2.57368,1.8124,1.38674,1.995
"LOC101927588",0.41498,0.67238,0.83771,0.50641,1.13008,1.73787,0.91061,0.47967,0.74163,0.60599,0.97841,0.8529,0.76234,0.77239,0.5867,1.70712,1.47664,0.46249,0.82976,0.57078,0.38954,0.58538,0.69652,0.69947,0.67707,0.41225,0.80464,0.50153,0.78933,0.63139,1.05969,0.55935,1.4024,0.61499,0.26393,0.66573,0.70261,0.46864,0.98469,0.51254,0.46303,0.35151,0.88038,0.67135,1.37968,0.52885,0.78488,0.52356,0.38653,1.0362,0.44334,1.02497,0.60787,0.71554,0.84411,0.83161,0.48187,0.66736,1.46617,0.48617,0.54002,0.66698,0.4895,0.589,0.8457,0.2901,0.40443,0.62216,0.56315,0.81894,0.77504,0.53309,0.50579,0.8957,0.8874,0.58539,1.33605,0.5257,0.98081,0.57178,0.49434,0.92264,0.48331,0.59432,0.83741
"LOC101927596",49.07159,47.44685,48.96809,24.0945,42.70498,55.0211,40.74962,45.5973,40.65478,28.13535,37.69746,47.17901,36.33807,56.5343,37.39339,48.58724,43.33949,40.88446,60.14959,24.32404,44.97051,60.02111,48.54762,46.86476,45.97068,32.79672,38.82365,51.49001,20.17723,57.1577,41.00998,38.07851,32.62644,44.38143,42.65171,78.0074,45.74338,41.70903,46.67836,42.89582,43.59088,57.71743,62.25954,53.30524,31.9125,42.76143,55.04312,38.8746,46.04019,43.01619,34.13681,50.18254,30.36172,57.77046,43.04955,29.1704,53.94138,56.97185,34.74177,49.76564,38.98979,40.3895,43.07626,45.94171,56.46266,38.2933,42.70825,64.93109,18.90587,53.00388,50.11934,30.10176,41.11318,50.8871,33.26398,39.61129,33.47753,46.56192,40.49918,32.16258,38.06437,41.7616,32.38155,46.71993,63.10098
"LOC101927604",0.72622,1.5494,1.21849,0.77294,0.83269,1.49457,1.06237,0.67719,1.55068,0.51942,0.57553,1.97514,0.45176,0.87206,0.46591,1.18185,1.03365,0.69374,0.79722,0.7025,0.77908,1.13174,0.76617,0.83937,0.53699,0.68708,1.00579,0.91946,0.69066,0.99694,1.16566,0.94658,0.65995,0.51249,0.42229,0.66573,0.66563,0.93728,1.00564,0.94623,0.72762,0.77332,1.10048,0.85038,0.59986,0.4533,0.8102,0.58901,0.73011,0.98019,0.55417,0.98397,1.02379,0.97916,0.972,0.95955,0.87871,0.98348,0.9562,0.75135,0.81775,0.51876,1.02796,0.37482,0.7462,0.78742,0.35051,1.24432,1.16653,0.68245,1.9376,0.53309,0.68642,0.72776,0.94118,0.86414,1.33605,1.4269,0.89907,0.7862,0.41195,0.92264,0.96661,0.85846,0.54185
"LOC101927620",0.5706,0.29234,0.30462,0.31984,0.11896,0.52136,0.30354,0.19751,0.23597,0.21643,0.69064,0.40401,0.59293,0.32391,0.29335,0.59093,0.36916,0.55499,0.39048,0.39516,0.69252,0.39025,0.45274,0.20984,0.46694,0.59547,0.29056,0.41794,0.39466,0.36554,0.49452,0.60237,0.32998,0.40999,0.21115,0.31328,0.1849,0.40169,0.39807,0.27598,0.13229,0.0703,0.55024,0.17903,1.01976,0.1511,0.45574,0.32723,0.30064,0.5321,0.3325,0.20499,0.41591,0.30128,0.486,0.31985,0.42518,0.35124,0.57372,0.26518,0.40116,0.37055,0.5874,0.37482,0.44772,0.2901,0.2157,0.11312,0.40225,0.22748,0.32293,0.07108,0.21677,0.39187,0.26891,0.41813,0.4199,0.4506,0.28607,0.14294,0.24717,0.67984,0.42289,0.46225,0.49259
"LOC101927630",2.59364,1.90021,2.93199,3.09177,3.86605,3.68429,1.36591,2.99091,5.56222,2.94339,2.18703,11.17752,1.97643,1.61954,1.36321,7.28809,3.47011,2.03497,1.90357,4.74187,2.4671,1.28784,2.05474,1.95853,1.51757,3.80185,3.10679,2.63301,3.65065,1.46217,9.32527,1.9362,4.12471,2.92118,3.80065,1.72306,6.36044,2.611,2.61885,3.03583,4.16726,3.09326,3.6866,2.10357,2.45942,5.06187,2.45593,2.48693,2.0615,5.82511,2.43834,1.51696,2.8794,1.46874,2.17422,3.32645,1.84245,2.17772,3.18732,1.3701,2.60755,6.22517,2.15381,2.19535,1.69139,2.69379,1.91432,1.414,7.72325,2.27484,3.55227,2.06128,2.31216,1.45552,7.87902,4.62736,2.86296,2.1779,1.55295,3.00184,2.01857,3.10784,2.29571,6.3724,4.77814
"LOC101927635",1.40056,1.84174,1.21849,1.33266,0.95164,1.59884,0.91061,0.93113,1.55068,1.12541,1.43883,0.58357,0.95998,1.7192,0.91456,1.77278,0.88599,0.87874,1.77341,0.65859,1.29847,1.36589,1.77613,0.55958,1.35414,1.74061,0.93874,0.91946,0.98666,1.76125,0.88307,1.37685,1.27866,1.02498,1.16131,1.29229,0.8875,1.47287,1.55036,1.37992,0.59532,1.05452,1.89832,1.92454,1.13973,0.67995,1.84827,0.45812,0.94485,0.95218,0.94209,1.68095,0.76784,1.77002,1.17664,1.2794,1.21885,1.51035,0.89245,1.3701,1.37321,1.18575,1.37061,0.80318,1.39291,0.70453,1.32115,1.58369,1.00563,2.04736,1.22715,0.46201,1.4451,0.6158,1.12942,1.75617,1.2597,0.9012,0.81734,0.57178,0.57673,1.01976,0.96661,1.51881,0.88666
