"","GSM2277340","GSM2277341","GSM2277342","GSM2277343","GSM2277344","GSM2277345","GSM2277346","GSM2277347","GSM2277348","GSM2277349","GSM2277350","GSM2277351","GSM2277352","GSM2277353","GSM2277354","GSM2277355","GSM2277356","GSM2277357","GSM2277358","GSM2277359","GSM2277360","GSM2277361","GSM2277362","GSM2277363","GSM2277364","GSM2277365","GSM2277366","GSM2277367","GSM2277368","GSM2277369","GSM2277370","GSM2277371","GSM2277372","GSM2277373","GSM2277374","GSM2277375","GSM2277376","GSM2277377","GSM2277378","GSM2277379","GSM2277380","GSM2277381","GSM2277382","GSM2277383","GSM2277384","GSM2277385","GSM2277386","GSM2277387","GSM2277388","GSM2277389","GSM2277390","GSM2277391","GSM2277392","GSM2277393","GSM2277394","GSM2277395","GSM2277396","GSM2277397","GSM2277398","GSM2277399","GSM2277400","GSM2277401","GSM2277402","GSM2277403","GSM2277404","GSM2277405","GSM2277406","GSM2277407","GSM2277408","GSM2277409","GSM2277410","GSM2277411","GSM2277412","GSM2277413","GSM2277414","GSM2277415","GSM2277416","GSM2277417","GSM2277418","GSM2277419","GSM2277420","GSM2277421","GSM2277422","GSM2277423","GSM2277424"
"A1BG",2.59364,3.06957,2.20851,5.09076,4.22292,4.93556,2.04886,3.21664,2.56199,4.0688,4.2014,4.80319,5.73165,3.16433,2.82996,5.71228,3.32245,6.05867,4.52302,3.60031,5.45359,6.82945,5.71148,6.22532,3.29196,2.74833,3.79967,2.17328,3.84798,4.12067,5.01586,2.92581,3.29977,2.51119,3.53671,3.36779,2.21876,2.81184,3.39403,3.86378,4.498,3.93688,4.26435,2.50638,3.05928,1.73766,2.10146,2.35604,2.53393,2.52048,3.38043,5.08385,3.48728,3.42706,4.34844,2.04705,3.51484,2.66946,2.99608,4.1545,3.56416,3.2608,4.84608,9.42394,5.77063,3.93708,2.69623,4.12889,2.85599,3.41227,5.55446,4.69118,1.80638,2.91103,2.98488,2.81544,5.00064,3.07909,3.14676,5.78927,6.17928,6.7984,2.96025,2.11313,10.56609
"A1BG-AS1",4.5648,3.27421,1.98005,9.5152,3.03336,3.64954,1.74533,4.23242,4.95543,4.28523,3.51076,7.18234,7.65161,4.70912,1.55303,6.04058,3.83927,10.03612,4.81587,2.37093,8.00726,8.39047,6.09457,5.03621,3.17522,3.84766,4.71606,2.67481,2.31866,6.54655,6.88798,9.12163,3.29977,2.92118,5.5954,4.151,1.99688,6.09233,4.0435,3.94263,6.87929,2.17934,6.05263,3.89383,3.53917,0.9066,2.1521,2.09425,3.47878,3.22061,6.42836,6.35481,5.88678,2.10896,3.40201,1.85514,4.30851,2.59921,3.88853,4.72906,3.055,3.55724,5.77613,9.90585,5.5219,4.64161,2.10306,5.03386,2.37329,3.18478,6.97537,3.8027,3.50438,3.75075,4.65212,2.59243,8.43619,2.4032,2.45202,8.36227,9.39251,8.06096,6.58505,2.41029,8.17702
"A1CF",3.63109,4.35587,4.6455,4.98415,4.04448,3.82332,3.79419,3.97848,5.86562,3.85238,4.25895,2.10981,4.85637,4.11113,2.31228,4.92438,6.49723,3.5612,2.78214,3.11734,4.4581,3.78547,3.90053,2.51811,3.61882,4.58055,4.20198,2.54942,3.74931,3.7219,3.63827,3.14094,4.82591,3.79241,3.80065,3.87687,4.17866,5.42284,5.15389,4.02148,2.44744,3.72597,4.20933,4.29664,5.69866,4.38191,4.81058,4.12306,4.123,3.72471,3.21418,6.35481,3.74323,4.97112,4.16939,5.18158,3.25973,4.35543,3.5698,3.49155,4.01161,2.89026,3.72022,1.71344,2.83557,1.53339,1.91432,2.37553,4.50523,3.77624,4.13355,1.9902,3.68501,2.63113,3.84539,4.73886,6.79476,4.35579,3.18762,2.00123,3.74876,5.63296,3.98728,4.85359,2.4137
"A2M",29.6712,24.14732,12.67992,20.41636,11.41972,8.3418,10.24432,17.69153,27.37287,12.03327,18.47463,29.8965,8.15983,19.9826,25.02096,11.42457,19.63936,14.24481,17.45754,21.2506,21.64124,22.90793,53.07501,11.54132,14.94222,13.92486,12.42714,14.79502,7.99196,12.76079,16.53115,11.44507,13.73528,22.39571,21.37864,16.60398,8.24638,14.12617,27.25698,8.59493,7.54076,21.65282,16.50717,40.63909,8.21807,12.99464,18.17891,15.51057,13.78629,13.91865,24.16177,20.86839,17.56437,30.99419,12.32911,13.3058,23.15823,17.49197,13.00426,15.82247,12.45143,24.75246,14.48929,22.11413,18.20734,7.29396,27.74419,20.47479,11.786,13.1941,16.98632,21.71449,23.48293,11.81208,32.99507,9.31046,13.39865,12.84208,11.85142,12.65062,12.15259,10.24616,12.86804,13.37213,12.53646
"A2M-AS1",1.86742,2.25102,2.01813,1.54589,1.90329,1.77263,1.8971,2.05978,1.68552,1.99112,2.64746,1.21202,1.69408,2.29227,0.96633,1.64146,2.58413,1.29498,1.67579,1.18547,1.86115,1.75614,1.49752,1.329,2.03121,2.5193,2.72682,1.79713,1.57866,1.82772,1.87212,2.19436,1.36115,1.33247,2.26983,1.48809,1.62709,1.74067,3.01691,2.405,1.38909,1.54663,2.11842,1.656,2.87932,0.67995,1.87359,2.02881,1.76087,2.29644,2.66001,3.23891,2.04758,2.10896,2.66022,1.53528,1.78576,2.49384,1.7849,1.76787,1.75894,1.03753,2.44751,1.60635,1.84063,1.57483,0.83583,1.69681,1.85036,2.68432,2.13136,0.8174,2.05927,2.01533,1.50589,1.89554,2.90113,2.4783,1.30774,0.85767,1.64781,2.23376,1.63116,2.08011,1.23148
"A2ML1",2.853,2.39719,2.51314,4.79758,3.68762,2.39827,2.73182,2.05978,3.43846,4.0688,2.12947,2.33426,3.4164,2.1926,4.8834,3.02029,3.24862,2.45122,2.76587,4.82968,2.64023,1.95127,2.29852,3.63726,2.42811,2.88574,3.10679,2.25687,32.55984,2.45911,3.14375,2.15133,3.05228,4.40739,3.27278,2.74122,2.07084,3.07964,3.49878,2.60214,3.17506,1.75753,3.79665,1.52173,4.01905,3.47531,2.17742,2.81415,3.77942,5.01295,2.10584,2.41893,3.3913,2.74918,3.7857,3.19851,3.37311,2.45871,4.3985,1.90046,2.56126,3.48313,2.69227,3.10562,2.93506,6.38222,2.02217,1.97961,4.06275,2.36584,4.19814,3.66054,3.75727,2.63113,3.41514,4.54373,3.05382,4.35579,1.10341,3.78804,2.5541,4.22472,2.41653,2.37727,5.51703
"A2MP1",1.24495,1.69557,2.32275,2.0523,2.08172,2.81536,1.51768,1.7494,2.56199,1.90455,2.12947,1.39158,2.62583,1.7192,1.19065,2.88897,3.47011,1.20248,1.82222,1.84406,1.86115,2.06835,1.91544,2.02847,1.72769,2.06125,1.54222,2.21507,2.36799,2.49234,1.51889,2.40949,1.77362,1.63996,1.5836,1.05733,2.18178,2.00846,2.43029,1.81361,1.58753,1.68723,2.64115,1.3427,2.51941,1.511,1.51913,1.96336,1.93266,2.54849,2.05043,2.82892,2.71944,2.4479,2.25096,2.68675,2.09756,1.93184,2.16738,1.98886,2.43783,1.48218,1.76221,1.82053,2.08937,1.57483,0.56621,1.69681,2.05149,1.81988,1.9376,1.42157,1.77025,0.78374,2.09749,1.67254,3.01565,1.8024,1.10341,0.92914,1.7302,3.25352,1.93323,2.47632,1.25611
"A3GALT2",0.31124,0.11694,0.22847,0.15992,0.17843,0.13903,0.4553,0.05643,0.30339,0.12986,0.05755,0.35912,0.31058,0.22424,0.17256,0.45961,0.14766,0.185,0.37421,0.30734,0.51939,0.11708,0.24378,0.41968,0.32686,0.22903,0.24586,0.20897,0.09867,0.23262,0.35323,0.25816,0.16499,0.46124,0.26393,0.11748,0.11094,0.1339,0.31426,0.23656,0.06615,0,0.33014,0.08951,0.17996,0,0.20255,0.19634,0.12884,0.19604,0.16625,0.36899,0.28794,0.15064,0.23021,0.12794,0.19842,0.281,0.63746,0.30938,0.16972,0,0.2937,0.16064,0.19899,0.24866,0.05392,0.11312,0.36203,0.18199,0.38752,0.10662,0.18064,0,0.21513,0.13938,0.38173,0.4506,0.08173,0.57178,0.20598,0.2428,0.30207,0.13207,0.12315
"A4GALT",55.40006,25.93059,41.3906,38.64716,49.90178,44.5591,41.20493,39.44618,41.49754,54.01987,50.99229,54.27157,50.0319,25.16511,89.16089,41.95574,41.93668,72.98154,95.01586,69.45961,56.70006,31.02522,53.66706,73.23493,45.62047,56.98201,54.35758,43.08945,164.72318,50.01299,82.33786,45.52211,49.29027,55.39991,50.83366,41.43164,36.31366,36.95567,38.80086,41.35819,55.69578,62.28702,47.67821,31.19542,56.62668,39.05947,47.29556,63.48209,47.54336,74.83024,27.70845,39.31786,60.21155,43.49731,52.92307,48.93719,47.9605,39.30426,66.16873,48.66072,30.31854,66.2536,34.21626,67.89521,40.84215,97.34952,109.76344,33.65331,97.74736,21.52003,49.53806,79.75012,31.5755,48.64785,64.59182,78.24692,30.95813,38.82664,49.04037,73.33069,61.42205,59.82592,30.56915,35.39489,111.54737
"A4GNT",0.62247,0.70162,0.53309,0.74629,0.83269,0.55612,0.60707,0.36681,0.74163,0.69256,0.23021,0.53868,0.81881,0.79731,0.34512,0.32829,0.95982,0.69374,0.43929,0.96594,0.9955,0.74148,0.55722,0.41968,0.46694,0.59547,0.78228,0.45973,0.69066,0.66462,0.74178,0.8175,0.61871,0.87123,0.7918,0.35244,0.73959,0.46864,0.73328,0.67025,0.33074,0.56241,0.82536,0.44757,0.8398,0.37775,0.43042,0.52356,0.30064,0.36407,0.49875,0.49199,0.79983,0.60256,0.84411,1.02352,0.45353,0.63224,0.44622,0.30938,0.5246,0.37055,0.44055,0.589,0.49747,0.37299,0.32355,0.50904,0.52293,0.59146,0.45211,0.28431,0.46966,0.22393,0.80673,0.83627,1.2597,0.9012,0.3678,0.42883,1.07108,1.01976,0.42289,0.36319,0.34481
"AA06",0.05187,0.02923,0.38078,0.18657,0.11896,0.38233,0.07588,0.02822,0.03371,0.25971,0.17266,0.17956,0.36705,0.12458,0.18981,0.19698,0.2215,0.04625,0.11389,0.13172,0.08656,0.11708,0.20896,0.20984,0.18678,0.09161,0.11175,0.20897,0.09867,0.19939,0.03532,0.12908,0.08249,0,0.15836,0.11748,0.14792,0.26779,0.18856,0.07885,0.19844,0.28121,0.35766,0.04476,0.35992,0.22665,0.17723,0.45812,0.17179,0.19604,0.22167,0.20499,0.22395,0.1883,0.1279,0.06397,0.14173,0.1405,0.50997,0.08839,0.09258,0.14822,0.3916,0.05355,0.04975,0.16577,0.10785,0.16968,0.28158,0.22748,0.06459,0.10662,0.03613,0.27991,0.10756,0.19513,0.30538,0.3004,0,0,0.16478,0.14568,0.06041,0.16509,0.09852
"AAAS",41.39443,45.63434,45.80763,76.94782,74.94189,78.55192,62.83182,57.39165,45.00343,57.69911,63.0785,66.97534,73.07142,52.09926,59.44635,65.19882,66.00598,62.20543,78.03015,51.63369,72.45489,72.19704,70.07016,73.79451,63.55114,39.66754,86.36417,53.41252,63.93568,71.21451,68.27932,63.163,88.35125,73.43947,50.09465,46.405,50.21787,29.25658,60.38018,45.2614,68.59445,55.74899,49.90667,58.45226,71.14327,47.14335,52.78974,51.30924,57.85087,73.14993,63.9511,52.06848,50.42157,68.16462,65.66144,72.92601,58.78846,49.59572,67.5074,62.05237,52.55213,52.5434,59.52356,60.55953,57.50734,55.32635,48.28944,62.7818,65.72806,67.2899,67.62236,76.76483,55.45583,55.36562,59.99348,38.35688,54.81612,55.27351,49.73511,61.03744,60.22739,41.56736,47.36406,47.57839,94.2574
"AACS",52.96205,44.66961,46.60727,55.94509,64.5333,47.61775,55.85051,58.80245,56.70095,60.20965,44.89163,56.42628,52.96831,42.9551,46.12484,67.49687,43.33949,49.6256,59.20594,41.79871,52.11212,50.42085,45.37844,58.82576,39.99379,38.43079,49.1945,63.61022,66.89567,48.01912,65.31219,46.59778,40.58713,48.07134,48.03597,54.31539,52.02986,45.19036,44.83469,52.63412,54.83587,45.7662,63.47006,50.17227,52.48766,57.26708,43.97879,54.97418,51.79521,56.85082,53.53272,40.58882,51.50935,46.96203,53.63928,42.34826,48.5841,45.06467,67.12492,42.16379,52.36698,58.24981,58.104,63.93287,45.96608,82.96881,46.24031,43.83414,82.86402,46.27034,56.57802,85.40087,48.04968,46.9684,52.03379,54.32962,49.47193,62.7084,46.46575,63.68192,58.00285,58.32056,55.27821,46.19165,58.84007
"AACSP1",2.23053,1.92945,2.0562,11.75407,6.83993,3.09342,3.11124,1.46724,3.03394,3.11653,3.05033,1.88536,9.43039,1.51987,1.1734,2.82331,4.87292,1.10999,2.7496,1.75625,1.99099,2.02932,2.47265,2.09842,2.03121,2.56511,3.59851,1.71355,3.74931,4.48621,2.29599,2.15133,6.14582,1.8962,2.48098,5.48245,1.77501,1.74067,3.70829,6.1505,1.45523,1.12482,3.19139,1.70075,9.47777,1.73766,2.53188,4.05762,1.80381,3.6687,6.42836,2.70592,1.98359,3.31408,5.80645,3.13454,1.98418,1.54548,4.65348,2.87279,1.77437,1.55629,5.67823,3.69461,1.79089,3.89564,1.18634,2.37553,2.61464,2.41134,2.58347,1.24387,1.66187,1.17561,3.01177,2.42518,6.33668,3.90519,1.55295,2.00123,2.80127,2.23376,2.47695,2.04709,3.22648
"AADAC",8.04027,5.43753,12.718,30.73115,7.97001,10.98337,2.04886,5.89718,12.67512,28.82791,3.97118,3.99518,35.09574,6.05458,6.03954,8.92955,8.56453,5.45743,6.65436,2.32703,13.46085,5.81479,4.91048,7.83411,4.73949,11.86362,13.00827,11.5351,13.66527,9.10535,16.03663,21.47026,10.97172,6.81609,15.88882,5.44329,5.69481,20.88799,10.16113,16.55905,11.31114,6.32712,16.09449,3.80432,10.31757,24.70493,5.72205,10.53672,6.74283,5.40503,3.38043,4.96086,13.56519,9.94224,5.0135,25.20425,10.06263,4.4608,4.20726,7.33668,9.41186,3.92779,5.43348,7.06796,4.6762,5.76057,14.85622,4.07233,4.74658,6.09658,4.65025,4.90442,3.72114,15.39489,4.59834,11.45689,7.06197,6.90919,10.87062,11.72148,6.0557,14.0824,24.10492,7.66009,12.9059
"AADACL2",2.33427,4.26817,3.73163,4.39778,3.39023,4.03187,3.49066,3.52702,6.1353,2.9001,5.17981,2.02004,4.34814,3.98656,2.32954,4.53043,7.38322,2.91371,3.075,2.72218,2.81336,3.66839,4.17914,2.44816,3.57212,5.03861,4.4702,3.67785,4.73598,4.35329,3.24972,4.30265,3.17602,4.61239,5.12032,3.28946,2.84741,4.55251,4.54632,4.29746,3.30735,1.54663,4.09928,4.07286,5.75865,2.64426,3.54463,4.12306,2.79162,3.86473,3.99002,5.82183,4.28711,5.31006,4.52749,6.52496,3.88332,4.91742,2.74109,3.53575,2.86985,2.51971,3.27967,1.98117,3.13405,1.65772,1.29419,3.05425,4.42478,5.18665,3.55227,1.77696,3.75727,2.91103,4.49077,4.65523,5.53506,4.58109,3.51456,2.57301,2.96605,5.3416,3.44356,4.98566,2.53685
"AADACL3",1.60805,1.60787,2.09428,1.94568,2.6765,2.25924,1.44179,1.55189,3.40475,1.94783,2.01437,1.43647,2.51289,1.74412,1.31144,1.51014,3.32245,1.43373,1.69206,3.24906,1.81786,1.79517,2.12439,1.4689,2.10125,1.74061,2.1904,1.79713,2.41732,1.76125,1.87212,2.23738,1.44365,2.51119,2.16426,1.68389,1.62709,2.20931,2.28364,2.01074,0.99221,1.19512,2.72368,1.70075,2.39944,2.71981,2.00019,1.57069,1.41728,1.54029,1.66251,3.11591,1.98359,2.86216,2.71138,2.75072,2.46605,1.7211,2.29487,1.72368,1.38864,1.77862,1.61536,2.03471,1.98987,1.24329,0.91672,1.30088,2.57442,1.54689,2.00219,2.06128,2.23991,1.06365,2.17816,2.23005,2.40489,2.1028,1.51208,2.21564,1.81259,3.30208,2.47695,2.60839,1.79796
"AADACL4",0.15562,0.23387,0.38078,0.15992,0.17843,0.41709,0.37942,0.36681,0.53937,0.38957,0.63309,0.31423,0.28235,0.24916,0.18981,0.19698,0.51683,0.37,0.19524,0.61469,0.30298,0.19513,0.24378,0.41968,0.16343,0.27483,0.42467,0.50153,0.444,0.46524,0.14129,0.25816,0.41247,0.30749,0.31672,0.31328,0.11094,0.33474,0.31426,0.47312,0.19844,0.2109,0.33014,0.13427,0.35992,0.37775,0.45574,0.58901,0.34358,0.47609,0.38792,0.98397,0.38392,0.22596,0.35811,0.19191,0.51022,0.281,0.25499,0.30938,0.29316,0.22233,0.24475,0.10709,0.09949,0.16577,0.05392,0.16968,0.52293,0.59146,0.12917,0.10662,0.32515,0.33589,0.24202,0.27876,0.22904,0.3755,0.20433,0.07147,0.20598,0.38848,0.30207,0.39621,0.12315
"AADACP1",10.99702,9.73494,30.42419,9.06209,13.26353,9.03695,8.57487,11.28646,11.59639,12.94226,12.48908,7.85569,11.88681,10.71386,15.73732,11.49023,16.68607,16.97353,11.53532,5.40046,9.73856,22.4006,17.20411,5.38595,14.33519,25.55946,12.44949,13.41582,19.04257,10.66722,11.33868,13.29521,11.3842,15.01589,24.80978,19.93261,25.10894,12.6533,12.84283,28.50522,19.8441,13.84937,16.3421,15.30679,7.67819,10.12373,21.16653,11.84563,13.31386,10.30596,9.58712,15.45655,29.75385,21.46621,15.1428,15.16093,14.28611,13.80391,9.6257,23.20334,25.1343,23.27028,12.53128,3.96234,12.78494,4.10285,9.73338,12.16044,9.41271,17.69829,9.55884,8.10295,17.05222,8.56516,8.71263,14.38383,12.32981,12.54168,11.93316,8.43374,19.07338,34.42904,8.69952,37.34292,6.35443
"AADAT",7.93653,16.60493,10.73795,15.29894,12.13345,16.33602,10.92727,10.15781,15.13598,13.85125,16.40271,10.4144,14.99263,13.72869,5.12498,14.24788,12.6253,11.1461,10.23373,8.42999,21.29498,18.49805,13.96528,10.632,15.24574,16.99383,13.05297,8.52594,8.48529,16.41622,10.63222,16.47918,15.63264,9.37852,12.7744,11.66978,8.69013,14.72871,15.60834,14.82429,11.04655,14.13058,15.04904,11.9948,16.19619,7.47947,16.58383,11.58385,12.58374,9.63383,11.58213,17.91648,17.14845,19.24427,15.7567,11.64257,14.76798,16.57874,8.73325,11.80056,14.10236,8.30023,12.92288,7.65695,16.26722,6.13356,6.60576,12.61292,9.49316,16.33338,7.49207,6.14829,8.85126,7.94936,8.76642,9.42197,20.65148,11.34008,9.44027,12.29325,11.78183,12.43136,13.41176,15.22112,9.01443
"AAED1",26.45509,22.39327,31.56652,19.4835,23.79108,20.95876,19.2745,26.69248,25.92332,17.18421,22.04294,14.54424,14.45617,24.46747,13.63211,16.15197,21.70666,17.80602,19.06825,17.12342,18.00552,24.66407,21.27876,16.36769,24.98153,18.23058,21.63575,22.77764,12.57994,25.48835,15.01227,20.60973,13.85902,20.7045,29.08551,30.3101,29.50947,40.50395,28.30452,28.54464,24.07751,24.88669,25.91626,25.51132,17.75582,18.58536,28.50899,18.91374,26.62772,21.48009,23.49677,28.82216,19.48397,30.16567,26.93475,20.47046,21.96772,26.41358,17.33901,22.58459,24.3474,19.4166,28.88067,17.08089,27.80848,13.46896,14.7214,22.05847,12.5905,25.43276,25.8993,12.29659,27.81823,20.43322,17.15636,25.39471,28.74411,25.68416,15.97899,14.58037,22.53378,19.81248,22.35294,27.3716,14.43293
"AAGAB",55.1407,53.81987,52.62356,48.66876,44.19193,43.27307,33.00947,53.77998,52.04891,45.57927,44.48876,30.70451,41.92854,46.14435,46.00405,46.61749,40.09088,40.69947,36.03769,38.15449,44.45112,53.11361,38.657,34.41412,46.06407,43.92745,48.23341,47.14345,43.21579,39.57838,40.83336,36.22837,44.54685,42.53647,39.64287,42.60645,55.43195,55.76826,47.89351,47.86353,40.28353,53.14784,44.81696,46.90503,33.05223,48.95655,49.19447,32.72273,51.23689,42.90417,34.85723,42.76176,39.06392,45.71925,44.22619,44.13943,43.51026,48.9986,32.76563,40.5285,54.37278,36.83226,42.48886,27.20092,45.12038,36.34548,46.29423,39.93149,52.8962,47.22577,47.01918,30.06622,55.23907,44.39326,42.81023,54.91501,46.26542,41.07963,31.95798,33.73498,35.79863,48.26864,43.13513,51.17731,38.02807
"AAK1",29.04872,35.16855,38.26822,38.22071,34.49706,31.52504,38.47311,32.87181,52.6894,41.29404,41.26577,30.43518,36.22513,35.72948,25.34882,38.34453,50.79655,30.6171,25.625,33.58825,32.20217,32.78136,33.67686,25.81059,31.61214,42.37007,34.48756,31.38717,41.73579,31.13765,28.7529,34.46428,26.85185,38.12908,36.7396,33.16881,33.61417,44.18613,45.37941,40.29368,26.52495,26.71452,36.31577,31.91153,39.41073,33.92206,35.2438,39.46361,32.85517,36.09887,43.6131,46.73864,35.22471,37.47171,38.5988,41.00489,34.29799,35.82694,40.79767,31.99851,35.76507,34.53488,40.38399,26.9332,38.15582,27.1037,26.28822,30.42938,44.81093,34.12267,34.03723,27.18754,34.75473,24.74378,38.83038,41.33958,44.24226,43.55793,21.49603,30.73314,34.23322,42.49,33.46899,34.73453,23.52125
"AAMDC",19.34852,17.21885,15.00267,11.83403,12.37136,14.11154,14.79735,18.84839,14.56291,11.47057,12.02866,13.82601,14.99263,14.97449,15.75458,16.15197,16.68607,12.53359,12.73928,8.12265,16.36078,22.98598,20.47776,18.53606,15.61929,14.65775,13.65645,14.46067,11.49461,16.98115,19.03909,14.88719,15.09643,13.73467,17.10292,27.843,17.52818,13.18889,15.00077,17.18987,12.70023,13.07606,14.55382,16.69425,8.45801,16.8477,14.86215,12.63097,13.27091,14.36673,13.90964,14.71857,14.30104,18.11446,16.34502,11.96242,18.93476,17.84322,13.13175,18.69526,15.08984,12.82089,15.762,11.83347,16.86418,16.61863,25.10188,20.41823,9.53338,17.5618,16.85715,12.33213,19.97855,18.02601,9.60003,14.1887,13.13144,14.94488,18.18581,14.29448,16.06613,14.95648,10.81399,13.00894,18.12737
"AAMP",100.5812,86.70816,88.34057,80.99911,105.92977,93.28909,106.46503,110.66373,74.16295,81.37609,95.65371,111.05697,86.45467,86.18429,82.94879,103.21506,88.45096,113.58851,146.93292,69.98649,103.44515,97.36845,105.10524,118.63079,101.88727,85.47302,97.09264,109.45806,98.27151,104.14665,110.45495,95.94925,79.07066,99.06385,89.84309,104.55811,94.14927,70.96561,84.70404,94.15002,113.83901,120.84807,92.30259,102.53761,79.84122,92.02019,92.18582,97.31739,109.60313,110.56505,93.48831,80.84965,88.90961,95.39281,108.65983,76.18849,88.91967,88.89998,116.78334,97.27725,94.4272,107.68063,102.79562,133.11317,105.51304,132.28593,114.96716,108.93491,113.71678,92.04021,98.49484,107.79061,96.64127,92.36933,99.28101,99.48816,84.05648,103.93823,93.62625,129.36506,117.52992,97.94552,85.00157,95.32186,128.61567
"AANAT",1.34869,0.81855,1.18041,1.49258,1.66538,1.3903,0.98649,0.64897,1.55068,0.90899,0.74819,1.52625,1.3835,0.84714,0.51768,1.44449,1.03365,0.87874,1.17143,2.23922,0.9955,0.78051,1.14926,0.83937,0.86385,0.77869,1.31871,0.6687,1.47999,0.96371,1.16566,1.33382,1.11367,1.43497,0.52787,1.05733,0.81354,0.87033,1.13134,0.98566,0.79376,0.98422,0.96292,0.40281,1.85956,0.9066,1.01275,0.65445,0.94485,1.26024,0.9975,1.10697,0.73585,1.43108,1.27895,1.79117,0.82202,1.08886,1.7849,1.23751,0.97204,0.44466,0.88111,0.80318,0.54722,1.03607,0.91672,1.07464,1.64924,1.00093,0.83963,1.38603,0.86706,0.22393,1.10252,1.33803,1.79412,1.2016,0.89907,1.21503,1.27705,1.40824,0.96661,0.82544,1.18222
"AAR2",43.41747,41.19076,44.28452,35.90188,44.72723,41.22238,38.77664,42.15493,42.94709,36.09982,43.39524,46.86478,35.23691,40.56317,34.32185,39.65769,41.64135,40.32947,50.58293,30.03184,42.93623,43.90361,46.07496,43.57723,41.02107,36.18633,40.0306,47.05986,41.04513,43.30028,39.13786,39.6705,33.12141,42.84396,39.53729,43.07638,37.79283,32.40316,39.7646,38.71663,42.79712,50.40609,43.93658,43.414,37.73113,36.18856,41.44691,39.33272,40.88643,42.008,41.17476,41.2858,42.93512,40.03259,45.24935,32.43288,43.02839,38.28565,46.27986,37.21374,40.37843,42.98332,41.8525,51.6175,50.54279,53.33709,40.60519,47.84991,44.16732,38.89984,41.20637,40.0883,41.69122,37.84343,37.16315,42.20372,38.09644,43.78323,38.78276,37.45154,42.47226,37.29408,41.56438,39.22493,50.1212
"AARD",0.51873,0.52621,0.60925,97.23092,0.47582,1.00797,0.4553,0.67719,1.55068,0.56271,0.34532,1.16713,1.35527,0.64781,0.79377,2.23239,0.66449,0.46249,1.61071,1.18547,248.87431,0.70246,0.59204,0.90932,0.58368,0.77869,0.71523,12.16201,0.98666,0.56493,0.81243,23.36343,0.61871,0.92248,1.05574,81.80595,0.59167,1.20508,0.83803,0.7491,1.05835,0.42181,2.25598,0.67135,1.01976,21.07852,0.43042,1.50525,0.73011,0.67213,0.22167,1.18897,0.60787,0.79086,0.92085,1.15146,6.60449,0.66736,0.89245,0.61876,0.67889,0.37055,1.02796,0.64254,0.59696,27.02081,0.4314,0.8484,0.88496,0.86444,0.9688,0.85294,0.61417,0.67178,0.83362,1.05927,0.99249,0.6008,0.65387,0.64325,0.57673,1.40824,0.78537,0.69337,0.4187
"AARS",98.19506,125.99871,109.89262,83.05141,120.14494,97.49475,111.39748,118.02815,88.42246,94.31835,106.18597,133.32223,78.37954,98.5426,87.24549,109.51827,96.64634,128.15707,107.38094,81.84116,107.12416,112.51031,92.81162,114.43395,94.62629,110.07056,100.40059,108.4968,81.20226,110.72643,101.20033,108.12577,74.9872,115.66845,109.05748,105.30216,98.95657,95.33493,110.11735,111.85243,130.50805,124.92555,92.38512,102.94042,111.99366,96.8554,99.60424,122.97201,122.44456,112.9455,124.68802,92.41131,103.81853,89.02826,120.88662,73.18189,111.65271,107.02419,125.45285,94.49285,106.49289,113.97991,116.1101,145.00019,120.13861,122.91982,83.31344,111.53668,112.3089,102.27701,112.76852,106.44012,101.2656,106.9245,87.79862,99.65542,94.28679,116.17951,95.7922,113.2123,120.66076,98.91672,114.06039,105.8875,124.28086
"AARS2",17.94796,22.0717,18.92468,22.46866,28.54929,22.87043,27.84937,20.40028,20.12513,19.00218,26.64721,30.56984,22.16424,22.10045,18.36021,32.50092,24.88145,26.4084,26.43849,19.53826,26.31575,20.52738,25.94546,32.10586,24.21107,23.08596,27.73756,23.78069,25.45587,23.26186,23.0659,22.5029,17.94248,25.11189,23.70126,17.15223,18.67454,15.3982,20.61558,22.19701,25.06972,20.10619,20.57894,23.45251,22.07481,19.71861,18.68529,26.6363,21.17333,28.39741,27.15428,22.59034,24.31497,23.49985,27.34401,18.61532,22.22283,18.68621,35.37923,24.92702,20.04264,22.82563,26.87371,33.94761,29.30089,27.18658,14.61356,27.60137,29.36443,21.42904,28.28901,27.68509,18.09992,18.58583,24.04042,20.6001,23.51444,27.63675,20.43349,33.52056,34.27441,27.04792,20.3593,20.73506,27.16643
"AARSD1",22.2534,28.73706,21.24743,28.70551,20.46033,25.23393,22.61338,20.73887,17.05748,21.94557,25.09327,22.75905,27.3312,21.22839,18.39472,24.4906,21.70666,19.14725,21.65516,18.79185,25.14713,29.85445,23.22902,24.2018,21.54949,24.82657,26.19534,18.84902,25.45587,21.93261,25.60916,22.5029,21.61347,25.72688,24.59864,29.44858,23.40789,16.67022,21.18125,26.29735,21.69622,20.10619,23.74281,23.54203,17.27594,20.47411,21.87546,20.41898,26.54182,24.72871,19.17425,20.13041,20.63573,21.61685,25.60464,19.25503,21.91103,23.95487,26.64598,23.86629,21.58556,15.56293,22.32133,22.91731,25.32114,29.92182,34.75438,23.13311,25.38213,22.42997,21.31364,22.42528,21.53204,15.33891,20.94797,22.07751,25.30856,21.85406,17.9406,23.87178,24.51115,26.99936,21.02384,22.18784,34.23512
