"","GSM931711","GSM931712","GSM931713","GSM931714","GSM931715","GSM931716","GSM931717","GSM931718","GSM931719","GSM931720","GSM931721","GSM931722","GSM931723","GSM931724","GSM931725","GSM931726","GSM931727","GSM931728","GSM931729","GSM931730","GSM931731","GSM931732","GSM931733","GSM931734"
"CDC42SE2",0,0,0,0,0,0,624.41461,0,0,0,0,0,0,0,122.9861,5816.89428,0,0,0,0,0,0,0,0
"CDC45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDC5L",0,0,0,0,0,0,312.20731,0,407.99674,99.37394,0,0,0,0,122.9861,0,0,0,0,0,0,0,259.67281,0
"CDC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDC73",0,0,0,0,191.93858,146.17746,0,195.12195,0,397.49578,0,0,0,0,368.95831,0,0,0,0,0,0,0,0,0
"CDCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CDCA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCA7L",0,0,0,0,0,146.17746,0,0,0,198.74789,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CDCA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCP1",0,0,0,0,0,146.17746,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDCP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,146.17746,3746.48767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CDH11",0,0,0,0,767.75432,1023.24222,0,0,0,0,0,0,430.10753,698.73064,0,0,0,0,0,0,0,0,0,0
"CDH12",0,0,0,0,0,0,0,0,0,0,243.78352,0,215.05376,0,0,0,0,163.23865,0,0,0,0,0,0
"CDH13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.47731,0,0,0,0,0,0
"CDH18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH19",0,137.91201,235.79344,0,0,0,0,0,0,0,0,0,0,0,0,0,123.62468,0,0,190.33118,0,0,0,0
"CDH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.62468,0,0,0,0,0,0,0
"CDH23",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH26",0,0,0,0,0,0,0,0,0,397.49578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH5",0,0,235.79344,0,0,0,156.10365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"CDH6",0,275.82402,0,0,0,0,0,0,0,99.37394,0,348.43206,0,116.45511,245.97221,252.90845,123.62468,163.23865,0,190.33118,174.33752,0,0,0
"CDH7",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CDH8",0,137.91201,0,462.96296,0,0,0,195.12195,0,99.37394,243.78352,0,0,0,0,126.45422,0,163.23865,0,0,0,0,0,0
"CDH9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDHR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDHR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CDHR3",224.8707,137.91201,0,1851.85185,191.93858,146.17746,0,0,0,695.61761,0,0,430.10753,0,0,0,0,0,0,0,0,0,0,0
"CDHR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDHR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDIPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDIPT-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.45422,0,0,0,0,0,0,259.67281,0
"CDK11A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11B",0,0,0,462.96296,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"CDK12",0,137.91201,0,0,0,0,156.10365,390.2439,0,496.86972,487.56704,0,430.10753,116.45511,122.9861,252.90845,0,163.23865,0,0,0,171.02788,259.67281,0
"CDK13",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,123.62468,163.23865,0,0,0,171.02788,259.67281,1015.57211
"CDK14",0,0,0,0,0,0,0,0,0,0,0,0,1505.37634,0,0,0,0,0,0,0,0,0,0,0
"CDK15",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,190.33118,0,0,0,0
"CDK16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK17",0,0,0,0,0,292.35492,0,195.12195,0,0,0,0,0,232.91021,0,0,247.24935,0,333.33333,0,0,342.05576,259.67281,1015.57211
"CDK18",0,0,0,0,0,0,0,0,407.99674,0,0,0,0,0,0,0,0,0,0,0,0,171.02788,0,0
"CDK19",674.6121,0,0,0,0,0,0,0,0,198.74789,0,0,430.10753,0,122.9861,0,0,0,0,0,0,0,0,677.04807
"CDK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK2AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK2AP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK4",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"CDK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK5R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK5R2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK5RAP1",0,0,0,462.96296,0,0,0,0,0,0,243.78352,348.43206,0,0,0,0,0,0,0,0,0,0,0,0
"CDK5RAP2",2698.44839,0,0,0,0,584.70984,468.31096,0,1223.99021,198.74789,0,1045.29617,0,0,368.95831,379.36267,123.62468,0,1333.33333,0,0,0,0,0
"CDK5RAP3",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CDK6",0,0,0,0,0,146.17746,0,0,0,99.37394,243.78352,348.43206,0,116.45511,122.9861,0,0,0,0,0,0,0,0,0
"CDK7",0,0,0,0,0,1461.7746,0,0,0,0,0,0,1290.32258,0,0,0,0,0,0,0,0,0,0,0
"CDK8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKAL1",224.8707,137.91201,0,0,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,171.02788,0,0
"CDKL1",0,0,0,0,0,0,0,390.2439,1223.99021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL2",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"CDKL3",0,0,0,462.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL5",0,0,0,0,191.93858,292.35492,0,195.12195,407.99674,0,0,0,1290.32258,232.91021,245.97221,0,0,163.23865,333.33333,0,523.01255,342.05576,0,338.52404
"CDKN1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.52404
"CDKN1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2A",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2AIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2AIPNL",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B-AS1",0,0,0,0,0,0,0,0,407.99674,198.74789,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDNF",0,0,0,0,191.93858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CDO1",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"CDON",0,0,0,462.96296,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDPF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDR2",0,827.47207,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"CDR2L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT15L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT4",0,0,0,0,0,0,156.10365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDS1",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDS2",224.8707,0,0,0,191.93858,146.17746,156.10365,0,0,0,0,0,645.16129,0,491.94441,0,494.4987,163.23865,0,0,174.33752,0,0,0
"CDSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDV3",224.8707,275.82402,0,0,0,1169.41968,156.10365,1560.97561,0,0,0,348.43206,0,0,122.9861,126.45422,123.62468,163.23865,0,0,0,171.02788,0,1015.57211
"CDX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDYL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.23865,0,0,348.67503,0,0,0
"CDYL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"CEACAM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CEACAM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM22P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM5",0,0,0,0,191.93858,0,0,0,0,397.49578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEACAM8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPB-AS1",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,380.66235,0,0,0,0
"CEBPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPG",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"CEBPZ",224.8707,275.82402,471.58689,0,0,292.35492,312.20731,390.2439,0,198.74789,0,0,430.10753,0,245.97221,0,0,0,0,0,0,0,0,0
"CEBPZOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.91662,0,0,0,0,0,0,171.02788,0,0
"CECR1",224.8707,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,126.45422,0,0,0,0,0,0,0,338.52404
"CECR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR3",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CECR7",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,348.43206,0,0,0,0,0,0,0,0,0,0,0,0
"CELF1",0,137.91201,0,0,0,1023.24222,156.10365,0,0,0,0,0,215.05376,116.45511,0,0,741.74805,0,0,0,174.33752,171.02788,0,338.52404
"CELF2",0,275.82402,0,0,0,146.17746,312.20731,0,815.99347,99.37394,0,0,215.05376,116.45511,0,252.90845,123.62468,0,0,0,174.33752,0,0,0
"CELF2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELF6",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"CELSR1",0,0,0,0,0,146.17746,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELSR2",0,0,0,0,0,0,0,0,407.99674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELSR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELSR3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEMIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEMP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEND1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.67281,0
"CENPBD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPBD1P1",0,0,0,0,0,0,0,195.12195,0,99.37394,0,0,0,0,0,126.45422,0,0,0,0,0,0,0,0
"CENPC",0,827.47207,0,0,383.87716,584.70984,156.10365,0,0,298.12183,0,0,0,0,122.9861,0,123.62468,0,333.33333,0,174.33752,171.02788,0,0
"CENPE",0,0,0,0,0,0,936.62192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPF",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,0,0
"CENPI",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPJ",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CENPK",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPL",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CENPM",0,0,0,0,0,146.17746,0,195.12195,407.99674,0,243.78352,0,0,116.45511,0,0,0,0,0,0,174.33752,0,259.67281,0
"CENPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,190.33118,0,0,0,0
"CENPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPVL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPVL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPW",0,0,0,0,0,0,0,0,0,198.74789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",0,137.91201,0,0,0,0,156.10365,0,0,99.37394,0,0,0,0,0,0,0,326.47731,0,0,174.33752,0,0,0
"CEP112",224.8707,413.73604,0,0,0,0,0,195.12195,0,0,0,0,215.05376,232.91021,245.97221,126.45422,0,0,0,0,0,171.02788,779.01844,0
"CEP120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881.30665,0,0
"CEP126",0,0,0,462.96296,1151.63148,0,0,195.12195,0,99.37394,0,348.43206,0,0,0,0,0,163.23865,0,0,0,0,259.67281,338.52404
"CEP128",0,0,0,0,0,0,624.41461,195.12195,0,0,0,0,0,0,0,252.90845,0,0,0,0,174.33752,0,259.67281,0
"CEP131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP135",0,0,235.79344,0,0,0,312.20731,780.4878,0,0,0,696.86411,0,116.45511,122.9861,0,0,0,0,0,0,0,0,0
"CEP152",0,0,0,0,0,0,0,0,407.99674,0,0,0,215.05376,0,0,0,0,0,0,0,0,0,0,0
"CEP162",0,0,0,0,0,146.17746,0,0,0,99.37394,0,0,0,232.91021,614.93051,0,0,0,0,0,697.35007,342.05576,0,0
"CEP164",0,1792.85616,0,0,191.93858,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP170",449.7414,0,0,0,0,0,156.10365,0,0,99.37394,731.35056,0,0,0,0,0,0,0,0,570.99353,0,0,779.01844,0
"CEP170B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP192",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,1000,380.66235,0,0,0,0
"CEP250",0,0,0,0,0,0,0,780.4878,0,0,0,0,0,5356.9349,0,0,0,0,0,0,0,855.13939,0,0
"CEP290",0,551.64805,471.58689,0,0,146.17746,0,195.12195,0,993.73944,0,0,0,232.91021,122.9861,505.81689,123.62468,0,0,0,0,0,0,338.52404
"CEP295",0,0,0,0,383.87716,0,0,0,0,0,0,0,215.05376,0,245.97221,18335.86242,0,0,0,0,0,0,0,0
"CEP295NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP350",3822.80189,137.91201,0,0,0,6577.98567,0,0,0,2981.21832,0,0,215.05376,2329.10213,1475.83323,0,1854.37013,652.95462,3000,0,1569.03766,0,259.67281,2031.14421
"CEP41",0,0,0,0,0,0,0,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CEP44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.23865,0,0,0,171.02788,0,0
"CEP55",0,0,0,0,0,0,0,195.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP57",0,0,235.79344,0,0,438.53238,936.62192,0,0,198.74789,0,0,0,116.45511,122.9861,0,494.4987,0,0,0,0,0,0,0
"CEP57L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP63",0,0,0,0,0,0,0,780.4878,0,99.37394,0,0,0,0,0,379.36267,123.62468,163.23865,0,570.99353,0,1197.19514,0,0
"CEP68",0,0,235.79344,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,123.62468,163.23865,0,0,0,0,0,0
"CEP70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.33333,0,0,0,0,0
"CEP72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP76",0,0,0,0,575.81574,0,0,0,0,0,0,0,0,0,0,0,0,163.23865,0,0,0,0,0,0
"CEP78",0,0,707.38033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP83",0,275.82402,0,0,191.93858,292.35492,312.20731,0,0,99.37394,975.13408,348.43206,0,0,0,0,247.24935,0,0,0,0,0,0,338.52404
"CEP83-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP85",0,0,0,0,0,0,0,0,0,0,243.78352,0,0,0,0,0,0,0,0,0,174.33752,0,0,0
"CEP85L",224.8707,0,0,0,0,0,468.31096,0,0,0,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"CEP89",0,0,0,0,0,292.35492,312.20731,0,0,0,0,0,430.10753,0,245.97221,0,0,0,333.33333,0,0,0,0,677.04807
"CEP95",674.6121,275.82402,0,2314.81481,383.87716,0,156.10365,0,0,397.49578,0,0,0,0,368.95831,0,0,0,0,0,0,342.05576,0,0
"CEP97",0,0,0,0,191.93858,0,0,0,407.99674,0,0,1393.72822,215.05376,0,368.95831,0,0,0,0,0,0,0,0,0
