"","GSM931711","GSM931712","GSM931713","GSM931714","GSM931715","GSM931716","GSM931717","GSM931718","GSM931719","GSM931720","GSM931721","GSM931722","GSM931723","GSM931724","GSM931725","GSM931726","GSM931727","GSM931728","GSM931729","GSM931730","GSM931731","GSM931732","GSM931733","GSM931734"
"ABCA6",449.7414,137.91201,0,0,0,0,0,0,0,99.37394,2194.05168,0,215.05376,232.91021,245.97221,252.90845,1112.62208,163.23865,0,380.66235,0,1881.30665,259.67281,0
"ABCA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA8",0,413.73604,235.79344,0,0,146.17746,0,0,815.99347,0,0,0,0,349.36532,368.95831,379.36267,494.4987,0,0,0,0,513.08363,1558.03687,338.52404
"ABCA9",0,0,0,0,0,0,0,0,407.99674,0,0,0,0,116.45511,0,0,123.62468,0,333.33333,0,27022.3152,0,259.67281,0
"ABCA9-AS1",0,0,235.79344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,191.93858,0,0,0,0,0,0,0,0,0,614.93051,0,0,163.23865,0,0,0,0,0,0
"ABCB10",0,0,0,0,0,0,0,390.2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,0,575.81574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB5",0,0,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB7",0,137.91201,0,0,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,163.23865,0,0,0,0,0,0
"ABCB8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB9",0,0,235.79344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.23865,0,0,0,0,0,0
"ABCC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC10",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,163.23865,0,0,0,0,0,0
"ABCC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,0,195.12195,0,99.37394,0,0,0,116.45511,0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.33118,0,0,259.67281,0
"ABCC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.9861,0,0,0,0,0,0,0,0,0
"ABCC4",0,0,235.79344,0,0,0,0,0,0,0,0,0,0,232.91021,0,0,0,0,0,0,871.68759,0,0,0
"ABCC5",0,0,0,0,0,146.17746,0,0,0,596.24366,0,0,0,349.36532,0,0,0,0,0,0,348.67503,171.02788,0,0
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,925.92592,0,146.17746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,0,0,0,0,0,0,99.37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
