"","GSM3346551","GSM3346553","GSM3346555","GSM3346557","GSM3346559","GSM3346561","GSM3346563","GSM3346565","GSM3346567","GSM3346569","GSM3346571","GSM3346573","GSM3346575","GSM3346577","GSM3346578","GSM3346580","GSM3346582","GSM3346584","GSM3346586","GSM3346588","GSM3346591","GSM3346593","GSM3346595","GSM3346601","GSM3346603","GSM3346605","GSM3346607","GSM3346609","GSM3346611","GSM3346613","GSM3346615","GSM3346617","GSM3346619","GSM3346621","GSM3346623","GSM3346625","GSM3346626","GSM3346628","GSM3346630","GSM3346632","GSM3346634","GSM3346636","GSM3346638","GSM3346640","GSM3346642","GSM3346644","GSM3346646","GSM3346648","GSM3346650"
"A1BG",1.64667,1.43645,1.2395,1.87697,1.58793,1.46901,1.01383,3.38226,1.9133,1.88929,1.34927,1.14253,1.40103,2.18149,0.64191,1.08211,0.67359,1.18228,2.01234,1.15763,0.99287,1.76023,1.28487,1.06501,1.28577,1.48872,1.50215,0.34072,1.55882,1.38779,1.26539,1.40817,1.52945,1.52889,1.49407,1.05025,0.94487,1.25717,1.22565,0.92459,0.60005,1.65823,1.58374,1.92559,0.92991,1.26635,0.84852,2.1045,1.51178
"A1BG-AS1",2.41854,1.38857,2.06584,2.08552,3.2288,1.26639,1.40005,4.03992,2.014,2.38647,2.65202,1.36224,1.65576,2.05317,1.10041,0.90897,0.91416,0.90945,1.46733,1.38025,1.35391,2.94839,1.5064,0.31324,1.50745,2.16927,1.25179,0.34072,1.938,1.71161,1.30902,1.2425,1.57079,1.43623,1.49407,0.09133,2.17319,1.21526,2.02866,0.79851,0.90007,2.21097,0.74788,2.13954,2.61259,1.61569,0.7273,4.34332,1.63776
"A1CF",4.73417,3.44749,4.5965,5.21379,4.34036,5.82539,4.1036,5.35525,3.02099,4.62379,4.46656,3.99884,5.30692,2.30981,1.69647,3.67918,2.8387,3.22854,3.47967,2.53788,3.15913,3.65248,2.92418,1.50355,2.83755,3.40278,4.2978,1.32028,4.21303,3.93207,2.92348,1.44958,3.55494,4.44768,3.42757,2.23749,3.21254,2.84958,4.81806,2.5216,2.91452,2.44128,1.67173,5.56282,3.71962,3.88638,2.94962,4.88064,4.78731
"A2M",20.94357,11.3001,10.27756,9.072,38.00458,10.48571,12.35909,7.14033,25.07426,14.07025,25.03133,8.65684,15.45375,35.9304,29.75705,4.97772,9.04533,8.50334,27.6277,13.71347,5.55104,21.38681,17.85525,4.88653,5.1874,19.22572,22.03146,26.36303,14.78775,34.92607,5.45426,13.00482,4.83638,21.58978,6.63542,8.81295,11.05493,12.19452,6.46635,5.8417,10.11511,18.79329,18.82891,24.81872,11.55739,9.12644,6.14168,17.28373,10.58248
"A2M-AS1",1.59521,2.15468,1.03292,2.29407,1.6938,2.07688,1.3035,1.87903,0.7049,1.93901,0.97706,1.75773,1.27366,0.72716,0.82531,1.21197,1.10661,1.22775,1.38348,0.35619,0.72209,1.27617,1.06334,0.93972,0.62071,0.93577,1.62732,0.8092,1.13752,1.06397,1.74536,0.7455,0.70272,1.11192,1.66984,0.95892,0.56692,0.20953,1.81734,1.30283,1.02866,1.19761,0.74788,1.49768,1.59412,1.44102,1.29299,1.02986,1.3858
"A2ML1",8.59355,3.87842,3.51193,2.13766,2.5407,38.29563,2.51044,2.16089,2.46715,2.23732,4.04782,1.45013,10.57138,2.73755,6.64834,14.45703,1.97265,8.86712,13.20596,1.51382,17.23981,5.3247,10.6334,5.70096,16.04992,6.7205,5.29923,7.36802,4.25516,7.63285,5.62879,5.38416,6.61385,3.61374,3.95489,2.8311,8.74001,15.25362,1.47923,19.4163,5.52902,5.43531,19.75276,1.45489,5.44659,10.43646,26.26376,8.68664,5.37523
"A2MP1",2.10979,1.24493,2.0142,1.77269,2.11725,1.77295,2.12422,2.06694,1.05735,2.38647,1.86107,1.53802,1.82558,1.6682,1.00871,1.42839,1.97265,2.04626,1.92849,1.06858,1.80522,1.89225,2.79127,0.68913,1.24143,1.36111,1.71078,0.72402,1.8116,2.03543,1.789,1.20108,2.10816,2.27017,1.66984,0.50229,1.37005,1.88575,1.31018,1.09269,2.05731,2.07279,1.75971,1.96838,1.46128,2.44536,2.1011,1.83584,1.25982
"A3GALT2",0,0.04788,0.25823,0.4171,0.10586,0.15197,0.24139,0.14093,0.1007,0,0.13958,0.21972,0.29719,0.12832,0.22925,0.17314,0.19245,0.04547,0.16769,0.1781,0.13539,0.35205,0.31014,0.06265,0.26602,0.04253,0.25036,0.08518,0.12639,0.2313,0.2618,0,0.28936,0.23165,0.26366,0,0.09449,0.33524,0.08453,0,0.17144,0.18425,0.04399,0.08558,0,0,0.04041,0.22388,0.04199
"A4GALT",38.64526,39.98127,31.71066,40.45903,30.70007,71.27242,55.37453,38.70811,52.41426,19.43981,62.99706,34.58341,39.78067,40.4217,195.69045,174.52314,86.94106,134.00714,171.30014,21.32711,271.82037,207.9273,156.62108,165.7036,252.80834,233.77117,125.72119,220.95539,136.83931,242.16952,183.65569,169.80814,162.16335,122.17221,193.26209,165.4826,182.40628,230.60629,36.26227,239.92996,154.59828,195.02639,209.9336,39.66716,91.21928,106.28593,201.05917,87.58286,38.04654
"A4GNT",0.87479,0.71823,0.25823,0.72993,1.21742,0.40524,0.48278,0.89254,0.5035,0.34803,0.18611,0.39549,0.25473,0.59884,0.13755,0.5627,0.28868,0.40925,0.25154,0.22262,0.36104,0.30804,0.31014,0.18794,0.26602,0.34028,0.12518,0.08518,0.58982,0.18504,0.30544,0.2485,0.70272,0.88027,0.35155,0.09133,0.3307,0.12572,0.25358,0.29419,0.30002,0.27637,0.17597,0.59907,0.44281,0.52401,0.20203,0.40299,0.29396
"AA06",0.25729,0.04788,0.20658,0.26069,0.10586,0.15197,0.09656,0.09395,0,0.09944,0.04653,0.26366,0.16982,0.08555,0.0917,0.21642,0,0.04547,0.04192,0.04452,0.04513,0.04401,0.17722,0,0.08867,0.08507,0.20863,0,0.16852,0,0.1309,0.16567,0.08267,0.18532,0.04394,0.04566,0.14173,0.08381,0.12679,0,0.04286,0.09212,0.08799,0.17116,0.08856,0.30567,0.08081,0.08955,0.29396
"AAAS",48.11361,48.69575,50.92299,58.65517,43.93287,44.72889,61.31269,47.58655,39.47433,48.77354,45.50305,52.51229,43.38937,34.39052,32.27884,41.68298,38.87569,31.37595,38.9471,26.00216,29.83119,30.98007,31.59005,32.82748,31.39044,40.23791,33.88172,35.5624,35.09457,39.04318,36.95804,21.74373,28.19154,45.21808,33.74836,33.92759,33.87343,34.19494,37.57244,34.4198,46.67522,24.73528,22.12837,52.37605,33.34375,45.2392,31.75894,39.62722,38.80243
"AACS",25.1117,36.67743,34.18967,38.42566,29.74731,32.97679,38.04283,27.33995,31.56939,31.22302,32.61517,29.09049,33.15763,27.24722,34.70892,37.4411,22.99824,33.14937,38.02477,16.78564,44.36318,36.70082,38.23592,44.66793,40.52382,35.51654,34.04862,41.05648,33.28296,39.50578,42.19412,36.57088,33.93732,37.57363,38.49422,37.80894,35.99938,35.11686,29.24649,38.16017,37.24588,31.87489,35.45819,35.55923,32.36956,32.40105,40.48659,33.49283,29.05983
"AACSP1",1.80104,1.53222,1.18786,2.39834,1.32328,2.22885,1.11039,1.64416,1.35945,1.6407,1.90759,1.53802,1.14629,0.81271,0.82531,1.77466,0.81793,1.63701,1.71887,0.53429,2.84321,2.24429,1.5064,1.00237,1.28577,1.53125,1.66905,0.59626,2.19078,1.57283,1.30902,1.11825,2.35618,2.17751,1.23041,1.09591,0.99211,1.59241,1.64828,0.96661,1.75729,2.11885,0.74788,2.05396,1.28415,1.70302,1.65664,1.83584,1.4278
"AADAC",2.88167,4.30936,2.89218,4.1189,2.32897,4.15376,4.92433,4.79154,2.26575,4.27576,6.14152,6.76727,2.92942,5.21846,1.23797,4.67473,4.13776,4.45629,2.93466,2.7605,5.91208,2.02427,3.36724,3.75887,3.67995,2.50955,2.87911,2.55538,2.56995,1.29527,4.88701,1.07683,2.19084,1.62155,6.19599,1.91784,4.11016,1.80194,5.40976,3.69834,6.08621,1.38186,3.34345,4.45025,3.63106,2.75103,0.96974,1.56718,4.45136
"AADACL2",3.24188,3.83054,2.16914,5.31807,3.54639,4.71097,4.29672,4.22782,1.96365,3.8283,2.32634,3.25181,3.01433,1.53987,1.51307,2.25079,2.35756,1.18228,2.01234,2.00359,1.76008,1.67222,1.90515,1.69149,1.28577,1.91406,3.08774,1.06474,1.93799,1.89665,1.61446,0.78692,1.77747,4.1697,2.72448,1.50687,1.32281,2.13719,2.83167,1.84917,3.8146,1.42793,1.27579,3.68002,2.43547,3.18771,1.85866,2.23883,2.56163
"AADACL3",2.10979,1.43645,1.54938,2.81545,2.3819,2.02622,1.11039,2.30182,1.25875,1.39211,1.62843,1.6259,1.86804,1.36878,0.68776,1.9478,0.76982,1.04587,1.50925,0.53429,1.53443,1.36418,1.41779,0.68913,0.97541,1.36111,1.62732,0.55367,1.60095,2.17421,1.96353,1.03542,2.02549,2.3165,1.6259,0.77627,1.37005,1.42479,1.47923,0.88256,1.84301,1.52005,1.05583,2.22513,1.72697,1.92136,1.65664,1.47762,1.72175
"AADACL4",0.30875,0.38305,0.10329,0.46924,0.42345,0.40524,0.24139,0.42278,0.35245,0.44746,0.27916,0.26366,0.21228,0.25665,0.41266,0.21642,0.38491,0.13642,0.25154,0.13357,0.13539,0.35205,0.13292,0.06265,0.31036,0.1276,0.41726,0.17036,0.33704,0.13878,0.21817,0.20708,0.37203,0.09266,0.26366,0.13699,0.28346,0.33524,0.16905,0.37824,0.30002,0.46062,0.26396,0.34233,0.57566,0.30567,0.12122,0.17911,0.25196
"AADACP1",12.19564,15.37005,14.30595,27.78952,19.5316,27.30336,24.52507,15.36111,9.16368,17.94827,19.86687,14.94073,15.15656,10.39415,5.18112,20.47357,25.01901,16.27912,12.32556,6.09982,6.13773,8.62513,13.86772,18.9823,7.58159,10.71877,14.47901,12.3936,13.22892,7.63285,22.4279,11.7209,10.70617,21.68244,14.50125,12.51165,13.27536,5.02867,9.0867,10.92692,15.90129,5.61956,8.00669,15.36193,13.63861,13.18749,5.6164,7.74634,13.18611
"AADAT",10.80626,11.20433,11.62036,11.0011,8.62778,15.60192,11.82804,21.42099,6.09234,12.5787,8.97964,7.99769,12.99134,5.09014,4.44751,15.27943,14.53027,12.82321,8.88782,4.586,4.69356,6.51286,9.8802,11.58985,5.94113,7.44359,12.05889,6.47364,10.7011,6.1988,16.18823,10.35416,6.57251,8.66371,12.08437,13.01395,8.0786,6.41155,11.74931,7.22858,14.87264,5.06682,5.4991,16.38891,9.6533,19.51923,8.80846,7.20902,13.81602
"AAED1",18.11336,29.59093,23.49895,26.38179,21.64885,18.1347,27.18035,19.91777,15.25602,23.31783,19.63424,24.69615,21.18522,21.68656,7.93216,24.71546,22.37277,21.82675,16.35023,13.17917,12.95242,12.67366,25.03279,19.48349,11.66057,9.74047,19.31925,12.0103,17.779,9.34446,24.65323,26.13389,19.38685,22.97968,19.11528,14.88613,16.58239,9.17732,17.28586,12.9442,16.20132,9.53483,10.11834,20.53963,15.45414,18.64589,9.61658,14.28371,22.71874
"AAGAB",33.75671,45.24827,35.89399,38.79062,43.40355,42.04414,49.09843,35.13795,40.63238,39.9237,48.24812,44.25094,37.44562,36.82866,61.80664,59.38635,42.53232,58.7958,56.59696,22.84094,47.79309,48.36235,59.01536,69.16324,49.96755,48.95754,45.73197,70.48596,47.05958,61.34036,52.14268,71.89925,51.79472,48.36852,49.30424,40.77703,55.98328,53.63911,28.1899,52.53327,55.97598,54.30707,54.11113,37.22808,45.6982,50.6976,57.82067,47.64221,32.58732
"AAK1",42.81339,26.43073,24.7901,39.20772,47.63805,40.87906,31.33223,33.07101,34.43934,29.88063,44.15377,30.54062,33.66709,35.71653,33.10415,37.26796,24.05674,34.74091,45.73873,19.14542,38.09005,45.32595,42.13484,33.07807,41.1002,37.13287,37.01118,41.43978,38.54925,46.58352,32.6819,40.29837,42.1633,45.54239,37.74719,36.987,37.46392,37.50547,25.90766,34.58791,36.64584,38.646,27.58348,35.2169,35.86778,41.57116,35.92074,32.01521,30.6556
"AAMDC",8.38772,9.43271,11.36213,9.072,8.36312,9.87784,7.72443,10.14679,5.68954,8.10406,7.30468,10.41457,10.06192,9.19647,7.93216,9.86887,8.17929,8.7307,8.46858,4.27433,9.02608,6.1168,8.50672,12.78016,8.91169,7.27345,9.59704,9.28456,9.56358,6.6614,9.77403,6.95799,6.20048,6.85684,10.89791,9.54356,8.59828,5.74106,7.52294,9.87626,10.02939,7.13961,10.33831,9.84191,6.42077,9.86878,9.85901,7.4329,9.82659
"AAMP",66.4328,73.35486,70.65177,68.30069,60.18273,71.47504,80.57549,64.21601,67.06608,61.40196,66.53309,62.44348,59.94696,55.09327,74.23215,85.18392,63.02866,76.12079,112.69084,41.71921,85.5221,107.02205,100.75144,114.33235,100.24547,112.24929,83.57768,103.70593,79.24715,107.69258,102.23456,94.96831,89.61768,90.43616,83.93147,89.2711,98.21877,99.90285,54.18208,105.06654,102.95122,106.40316,113.58939,72.91568,89.18235,92.70543,105.25706,79.20966,68.36619
"AANAT",0.77188,0.14365,0.92963,0.93848,0.89983,0.65852,0.77244,0.56371,0.6042,0.74577,0.6979,0.43943,1.14629,0.42774,0.64191,0.47613,0.48113,0.54567,0.8804,0.13357,0.63183,1.36418,0.53167,0.37589,0.66505,0.8507,0.7928,0.46849,0.84261,0.55512,0.65451,0.37275,0.74406,0.78761,0.48337,0.13699,0.47243,1.04764,0.42264,0.21013,0.90007,0.59881,0.21996,0.85582,0.75278,0.393,0.28284,0.62687,0.7139
"AAR2",30.36046,38.5927,37.03021,38.58207,36.31078,32.77417,42.24299,32.13149,16.51477,33.95752,38.24489,31.15583,35.19549,27.03335,36.13029,35.92614,36.95115,36.2415,42.30099,19.23447,28.56754,30.58402,42.93234,42.47525,31.87815,38.57905,35.71767,43.18596,30.12319,40.38472,44.68126,38.31037,34.4747,43.04057,39.50492,39.49847,39.63711,33.77588,22.31524,32.44455,39.90324,33.34887,31.7188,32.60666,36.84196,32.83772,36.60764,32.77641,31.99941
"AARD",0.87479,0.62246,0.51646,1.0949,0.8469,0.65852,0.77244,0.98649,0.5035,0.69605,0.37221,0.83492,0.42455,0.72716,0.73361,0.73584,0.09623,0.40925,0.25154,0.48977,0.67696,0.7481,0.7975,0.06265,1.19709,0.55295,0.66762,0.63885,0.67409,0.64764,0.82905,0.53842,0.62005,1.34357,0.79098,0.27398,0.51968,0.46096,0.54943,0.46229,0.64291,0.82912,0.43993,0.64186,0.44281,0.96068,0.7273,0.62687,0.50393
"AARS",67.30759,90.83171,95.75175,82.48221,86.33073,84.18959,90.71381,70.88658,74.16542,82.48247,105.15019,79.58138,84.48615,63.17761,55.66265,68.30296,63.84659,75.25681,79.78076,47.95261,60.4296,70.62927,69.56014,73.17271,59.63297,71.54351,69.59939,74.14868,59.23524,68.74191,69.77084,61.83501,70.35484,84.7839,60.50975,85.52674,68.54999,63.27739,57.64771,60.39225,76.07761,51.31304,55.34293,80.96037,75.6323,62.79341,53.45685,66.67223,72.64957
"AARS2",17.4444,17.47684,18.23105,17.7269,16.40866,19.55306,15.78681,22.17261,13.39308,19.88727,19.9134,15.38017,17.61897,15.05655,12.88402,14.06747,11.49912,12.82321,19.1172,9.17199,12.27547,20.15465,14.93106,14.09577,14.0991,18.24742,12.3927,19.97457,13.73449,15.91334,15.53372,9.40157,15.21186,18.94897,11.86466,18.99579,13.08639,17.05556,15.63757,12.98622,18.17291,15.89138,13.54978,18.01497,15.05561,14.32284,13.9804,15.17924,20.11511
"AARSD1",13.32773,15.70522,15.54546,16.78841,13.33865,15.60192,17.62136,17.28712,13.24203,13.87137,16.88917,14.06187,15.36884,16.16868,14.30539,17.3138,14.57838,16.55195,17.64987,9.39461,16.3372,16.63418,16.52607,19.60878,13.38971,17.05645,15.35526,18.95242,16.05166,13.50783,19.94076,14.74432,13.51706,17.09577,15.95137,14.70348,15.30682,16.17555,12.17195,20.97128,19.54445,15.29258,16.54129,17.20194,17.35823,15.10885,16.60678,19.79122,16.62961
"AASDH",16.46669,19.29635,14.25431,21.22014,18.04953,17.27356,20.37319,20.10567,14.80287,20.73248,18.33149,19.37901,18.42562,14.45771,12.01286,23.15721,19.58219,19.37124,23.98034,9.83986,14.66738,15.66606,15.86148,18.23053,17.24701,16.97138,18.10919,16.73775,17.82113,14.89562,15.79552,12.25932,14.67448,19.82924,17.04995,19.63508,17.33828,14.79266,16.27153,14.07892,15.38696,17.04293,17.1132,20.79637,17.97817,17.46687,15.47541,19.65689,19.40121
"AASDHPPT",30.97796,45.10462,35.53247,35.14097,36.84009,42.14545,39.68427,36.45327,29.50505,38.58131,36.52341,36.64874,42.37044,30.11309,50.48153,44.66961,40.46344,49.65585,44.2714,21.8614,33.62214,29.83592,44.21721,47.67502,31.92248,38.0261,43.2284,56.94243,31.51349,49.08154,53.49534,50.11411,35.96281,44.19882,40.33984,51.00554,38.03084,33.73397,26.49935,27.56946,41.91769,32.84219,30.57499,37.86994,37.01909,38.73279,35.35506,39.80632,33.09125
"AASS",18.31919,16.18404,12.18846,18.76966,14.45021,25.68239,12.9867,19.96474,14.29937,16.65559,11.67818,10.72217,14.77446,9.1537,8.57407,17.8765,15.78122,14.96042,14.67329,5.34291,11.55338,13.33375,14.488,12.09104,9.35506,14.41929,12.51788,9.83822,12.93401,15.63578,13.09021,8.11766,17.81606,14.40863,12.2162,15.89071,10.34628,19.02512,12.4678,11.053,15.81557,15.20045,9.50244,21.90894,12.53158,19.9559,13.01066,9.7165,18.8133
"AATBC",7.25563,4.54877,3.66687,6.048,9.15709,4.50835,5.02088,4.46271,3.97764,4.82266,7.72342,3.51547,5.34937,3.72136,4.49336,3.28962,1.7802,2.22815,5.15661,2.49336,2.97861,3.8285,4.38628,4.13476,2.39419,4.50869,2.16977,3.27941,3.53895,3.70078,3.44709,1.82233,3.10024,5.00364,2.46082,2.00917,2.78735,3.60388,3.42336,3.152,4.2432,4.09952,2.99151,8.38701,3.63106,4.23572,4.84869,2.50748,4.61934
"AATF",26.24378,26.81378,27.3724,27.42456,27.63006,24.31468,33.02196,29.12504,31.92184,25.35628,31.35896,27.77218,29.12438,26.09232,32.46224,32.89622,26.65486,31.19406,32.19738,17.54256,28.43214,34.2365,32.34326,31.07334,28.46422,31.73094,33.63136,32.79408,32.27184,28.49598,37.08894,28.99164,34.144,33.17228,30.3208,28.95032,31.84196,31.51298,22.56882,31.68806,33.0884,31.1379,31.93876,32.52108,30.28834,31.5277,25.53646,44.50786,29.14382
"AATK",3.13896,2.34621,1.29115,2.65903,4.49915,2.68475,1.35178,1.87903,18.07562,2.33675,3.53602,2.06534,1.48594,6.84389,11.50851,1.47167,1.10661,2.95571,1.76079,1.2912,2.16626,6.95291,3.89891,1.06501,3.59128,1.9566,1.62732,1.19251,2.61208,2.31298,1.17812,1.7395,2.39752,1.94586,3.64728,0.77627,1.84249,8.92588,1.31018,1.55498,1.92873,2.11885,4.44327,4.92095,0.97419,1.44102,1.73745,1.83584,1.67976
"ABALON",0.72042,1.10128,0.87798,1.72055,1.21742,0.60787,1.54489,0.56371,0.3021,0.59662,1.48885,1.27436,0.97647,0.72716,0.82531,1.21197,0.62548,0.5002,0.75463,0.31167,0.5867,1.01213,0.7975,1.25296,0.62071,0.72309,1.16834,0.93697,0.75835,0.6939,1.35266,2.07083,0.86807,1.15825,0.79098,0.82193,1.13384,0.83811,0.71848,0.79851,1.75729,1.05943,0.52791,1.19814,0.7085,0.69867,1.21217,0.62687,1.17583
"ABAT",66.79301,156.09455,152.76897,144.26566,118.08943,102.3243,72.85106,61.39746,46.52332,181.71997,126.8316,86.04105,115.52101,53.3823,35.25913,54.14892,55.18616,49.51944,56.68081,26.71454,25.58893,39.29716,32.03311,36.08517,23.18814,40.53565,42.35214,39.77878,35.17883,63.6996,54.49892,101.51214,42.20463,100.67509,37.43959,46.71322,47.14879,24.8919,48.09611,20.97128,55.63309,36.84958,34.71031,57.7677,55.30723,38.16512,32.64787,31.29878,66.35047
"ABCA1",42.71047,12.92808,10.69073,13.29517,67.69896,32.1663,15.20748,10.7105,78.34446,17.84883,41.96702,17.31367,23.0108,52.48404,84.68609,27.18267,6.49532,41.65271,23.8965,11.97702,31.95232,49.72653,81.34549,14.97284,27.04544,42.49225,19.8617,36.45679,22.45547,106.53608,23.03878,56.86502,69.32142,17.09577,30.01319,9.40657,50.07787,124.79475,11.4112,26.47677,44.61791,81.06907,41.08927,52.33326,31.08541,39.2568,70.75052,43.25411,18.8133
"ABCA10",9.46835,12.68867,6.81728,15.12,8.36312,8.00358,16.17303,10.75747,6.79724,9.19786,10.00323,16.30298,9.55245,6.50169,4.03485,5.45385,5.05192,6.68444,6.12086,5.92172,6.00234,5.80876,5.40531,2.50591,8.91169,5.27431,6.42584,2.76833,8.51033,6.93895,3.8398,2.56783,7.31657,5.88391,5.66867,2.87677,6.18887,7.45919,9.04443,5.16927,5.74332,3.82314,4.22331,8.77213,5.44659,7.33609,4.08098,8.23888,8.27281
"ABCA11P",4.5798,3.73478,5.57777,3.91034,4.55208,7.95293,2.89666,6.43569,1.5105,4.62379,2.83812,4.52616,4.41536,3.97801,7.2444,4.54487,3.70474,6.36614,5.07276,2.18169,2.97861,3.60847,4.43058,4.00946,4.38934,4.46615,8.80424,3.62012,4.97138,4.85727,4.05797,2.69208,3.72029,4.95731,4.61403,3.97268,2.97633,2.22099,3.67694,3.99253,5.87191,3.45465,3.29946,6.63259,4.11815,5.7204,4.72748,5.1493,4.91329
"ABCA12",15.9521,26.28709,9.50287,34.46317,24.50713,13.22111,51.80198,8.3617,13.84623,19.53925,21.96057,33.74848,14.85937,15.52706,7.19855,28.87077,6.97645,55.56726,45.19372,4.14075,26.22076,16.28214,97.47281,22.99177,25.40498,11.14411,21.82283,14.18237,17.18917,27.6633,33.77275,45.30978,60.64074,11.5825,21.62004,6.30149,45.02284,22.16804,3.97279,18.61779,23.27332,12.85129,28.02341,6.29026,12.93011,17.37954,24.12225,24.44798,5.66919
"ABCA13",835.94176,1203.65177,1032.86903,1429.41353,1223.29213,1635.51711,1005.91426,1286.34012,655.25375,1199.84902,1045.77914,819.05984,1257.35772,642.17029,633.97652,792.32296,1480.83669,1231.71072,1440.83291,450.89698,770.01479,977.54434,1372.59438,713.55918,712.53644,814.20083,839.07316,563.37661,851.45397,1103.94142,1061.00541,989.56732,1066.77277,1711.05961,844.8515,708.59794,1184.53062,1201.0552,761.3808,427.4107,1354.31007,763.66145,681.0524,1355.18755,704.2483,1348.35531,714.49545,664.79692,699.70355
"ABCA17P",2.62438,2.05892,2.73724,3.18041,3.33466,2.33016,2.07594,3.33529,1.96365,2.98309,2.04717,2.9442,2.54732,2.01039,0.91701,2.25079,2.21322,1.77342,1.50925,1.24668,1.62469,2.50833,2.21529,0.62648,1.24143,1.70139,1.83596,0.68144,2.48569,1.85039,2.0508,1.491,1.77747,3.10411,1.18647,1.05025,1.27557,1.63432,2.02866,1.09269,2.48592,1.65823,1.05583,2.8242,2.65687,2.62003,1.49501,1.74628,2.68761
"ABCA2",74.46031,89.25161,69.72215,87.80028,75.47984,72.64012,79.22371,69.85311,66.15978,72.33996,78.21127,75.97803,63.00374,51.54301,55.06659,41.89941,44.6012,31.05764,73.53413,45.23663,28.70293,113.75493,38.32454,44.54263,37.50892,58.5704,46.48304,42.54711,74.14938,58.74982,46.25209,45.43403,33.89598,76.72248,37.3517,57.44401,61.1328,44.25227,72.48227,38.45436,49.50402,56.9326,39.32956,69.32125,36.97481,49.51859,23.79901,54.80645,54.00425
"ABCA3",13.01898,8.52295,10.22591,8.49848,8.89244,17.72946,6.95199,14.46857,7.75389,10.14251,7.95605,5.49292,10.52893,6.92943,4.99772,6.79567,6.88023,5.00196,10.77438,6.09982,6.0926,6.8209,7.39907,7.2045,6.25149,7.27345,7.84454,5.96256,7.62559,7.26277,11.21395,7.24791,4.91905,6.81051,7.60217,12.96828,6.85027,5.78297,12.00289,8.90964,11.27234,4.32983,5.36712,11.254,5.13662,10.08712,7.7175,6.71648,13.01813
"ABCA4",8.79939,10.34246,7.54032,8.60276,8.09847,9.67522,7.04854,11.46211,6.69654,8.45209,6.42068,8.04163,8.3637,5.86008,6.87759,10.6047,6.73589,7.50294,7.9655,3.96266,8.48451,7.83303,7.5763,14.40901,5.67511,5.65713,8.22007,8.00686,7.0779,6.80018,13.26475,5.79833,4.38168,8.24674,8.30526,10.27417,5.62195,7.12394,6.71993,9.75018,10.20083,6.03412,5.98302,11.42517,7.57209,8.95177,6.38411,4.74631,8.14683
"ABCA5",106.2616,185.73336,100.968,172.99366,109.40872,125.32194,204.21469,146.51772,78.89831,131.2063,102.12596,195.24024,128.51235,93.46181,63.54896,84.49136,92.18543,129.00518,100.82644,74.84525,90.84748,67.37284,87.41539,60.95637,118.64523,72.73448,150.96557,67.29173,118.38623,84.70151,94.81678,75.12975,81.92908,113.5085,101.94817,81.14309,97.36839,92.06651,123.66363,69.59608,78.22064,59.60419,78.61512,123.06661,67.35171,98.3385,71.92229,76.97083,99.06378
"ABCA6",7.10126,7.27803,5.99094,10.84469,8.20433,7.75031,7.96582,9.724,6.39444,9.39674,8.84006,8.12952,7.47214,5.94563,3.8056,7.09866,6.25475,6.54802,7.0851,3.33932,5.14486,6.42484,4.74072,2.69386,4.92138,6.55036,6.84311,4.08861,7.20429,7.67911,4.3634,3.10625,6.03514,6.67152,4.78981,2.8311,4.86606,7.66872,5.66334,4.74901,4.92897,4.42195,5.67507,8.21585,7.74921,5.63307,4.64666,15.49267,6.46707
"ABCA7",64.11717,101.22205,85.11266,70.43835,64.84068,33.12876,68.79573,80.23478,82.42281,76.61573,91.56441,96.58745,87.45803,84.86417,134.20476,96.17818,55.95598,78.34893,77.43303,39.13681,86.5601,117.58344,153.34245,44.85587,79.89488,90.89683,68.18069,42.80265,94.75111,98.34812,56.89879,97.61898,126.90326,92.52101,72.11075,78.58597,91.08503,117.41937,74.67998,108.63881,73.37739,82.77337,73.55595,66.92496,22.67198,74.45255,65.05331,94.20979,27.12811
"ABCA8",4.83709,4.59665,4.80308,6.36083,5.13432,4.66031,4.48983,5.54315,4.78324,4.57407,4.60614,4.13067,4.71254,2.95143,1.97158,3.20305,3.2236,2.95571,3.81505,1.87002,2.70782,3.65248,3.63308,1.87944,3.32526,3.65799,4.54816,1.40546,3.62321,3.37696,4.05797,1.61525,3.88564,4.633,4.04277,1.73519,3.496,3.22673,4.39543,2.6897,4.37178,3.04009,1.67173,5.22049,3.85246,4.41039,2.99003,5.19408,3.94743
"ABCA9",9.98293,12.30561,9.55452,18.87393,13.12693,12.51193,16.0282,15.92482,8.05599,12.52898,12.9344,16.43481,13.03379,7.95602,2.61349,3.72247,4.81135,4.41082,4.90507,5.61005,4.51304,5.01666,5.00656,2.75651,5.98547,4.29601,5.04888,1.95913,8.84737,5.5049,5.8906,3.56183,5.24974,8.8027,4.74586,4.10967,5.244,5.74106,9.0867,3.06794,5.05755,2.94797,3.60741,9.75632,5.75656,5.89507,3.19206,5.68662,10.33052
"ABCA9-AS1",1.13208,0.90975,0.82634,2.24193,1.21742,1.46901,1.20694,1.73811,0.65455,1.14352,1.30275,1.27436,1.27366,0.64161,0.45851,0.86569,0.86604,0.77303,0.41924,0.35619,0.94774,0.70409,0.66459,0.50118,0.70939,0.80816,1.29351,0.29813,0.84261,0.60138,0.91631,0.20708,0.62005,1.43623,0.83492,0.41097,0.51968,0.67049,0.9298,0.42027,1.11438,0.3685,0.35194,1.45489,1.15131,1.61569,0.48487,1.07464,0.96586
