"","GSM3346551","GSM3346553","GSM3346555","GSM3346557","GSM3346559","GSM3346561","GSM3346563","GSM3346565","GSM3346567","GSM3346569","GSM3346571","GSM3346573","GSM3346575","GSM3346577","GSM3346578","GSM3346580","GSM3346582","GSM3346584","GSM3346586","GSM3346588","GSM3346591","GSM3346593","GSM3346595","GSM3346601","GSM3346603","GSM3346605","GSM3346607","GSM3346609","GSM3346611","GSM3346613","GSM3346615","GSM3346617","GSM3346619","GSM3346621","GSM3346623","GSM3346625","GSM3346626","GSM3346628","GSM3346630","GSM3346632","GSM3346634","GSM3346636","GSM3346638","GSM3346640","GSM3346642","GSM3346644","GSM3346646","GSM3346648","GSM3346650"
"ENSA",117.01641,162.65435,139.85746,138.11338,125.76445,122.18129,164.33731,132.47194,149.94204,126.0356,145.39573,140.35502,134.32874,122.59109,150.16078,166.03938,132.16773,172.15848,151.26062,87.66823,149.9683,135.88984,157.15275,176.54168,156.68619,155.33703,151.13248,192.93136,147.96172,157.65305,171.83086,170.76073,135.25325,157.9853,157.22868,157.76555,158.4067,152.87148,111.36489,167.43404,149.58359,152.97181,165.58887,143.56344,162.91056,151.5688,165.82533,175.70305,132.65895
"ENTHD1",0.77188,0.81399,0.41317,1.25131,0.79397,0.65852,1.11039,0.89254,0.9063,1.24295,0.51179,0.74704,1.01893,0.59884,0.2751,0.60598,0.62548,0.45472,0.92232,0.57882,0.4513,0.7921,0.53167,0.18794,0.53204,0.55295,0.70935,0.21295,0.58982,0.6939,0.39271,0.28992,0.78539,0.4633,0.83492,0.3653,0.37795,0.58668,0.84527,0.46229,0.68577,0.78305,0.52791,1.4121,0.97419,0.74234,0.48487,0.62687,0.50393
"ENTPD1",13.89377,8.23566,9.55452,7.87283,19.31987,7.59834,10.33143,6.76452,25.9302,9.89392,11.63166,12.91934,7.93915,27.16167,35.02987,15.66899,6.68777,20.50805,22.26147,12.19964,7.7173,34.89658,17.41219,10.83808,13.52272,13.48353,20.32068,18.31357,15.20905,19.56785,8.85771,18.14048,15.50121,27.47369,10.81002,9.31525,19.70045,19.77942,6.33956,10.21247,14.74406,17.08899,24.63596,7.83073,16.91542,12.70715,9.81861,45.08995,7.01299
"ENTPD1-AS1",6.58668,7.42167,6.35246,8.96772,8.09847,8.10489,8.20721,7.89195,6.89794,7.60688,7.63037,7.99769,7.72687,6.33059,6.18983,8.13749,6.25475,6.0933,9.72629,3.25027,4.96434,7.52499,6.55726,6.51538,4.87705,5.8698,7.42727,4.81264,7.16216,8.41926,8.0723,4.63866,7.52326,7.96876,8.39315,5.52522,7.41719,6.24393,5.15617,4.24469,7.71491,6.12624,5.98302,8.55818,7.21784,8.3841,6.18208,10.88069,6.84502
"ENTPD2",4.52834,7.66108,7.8502,7.87283,11.80365,14.79143,9.12449,5.07339,9.91893,13.1256,12.09692,11.02978,6.58058,5.26124,6.05228,6.75238,6.11041,3.27401,7.42049,2.67145,4.78382,6.95291,5.00656,4.51065,5.80812,4.55122,5.29923,3.27941,8.04689,5.5049,3.35982,5.59124,3.10024,6.25455,5.53684,4.65762,7.70065,4.81914,4.7758,3.86645,3.90032,3.04009,6.90687,6.71817,4.51668,5.02173,2.788,3.85078,6.34109
"ENTPD3",10.44606,8.52295,9.91604,10.84469,8.52192,16.36176,12.26254,13.52905,10.57348,11.58434,10.93376,6.81122,12.35451,8.8115,35.90104,33.63206,19.34162,30.83028,26.07653,5.29838,40.79788,19.89061,33.53951,37.90196,41.63224,29.94449,16.35669,35.09392,21.14943,37.74791,24.87141,26.29955,16.32794,19.69025,30.45262,43.19717,28.10975,28.28625,10.90404,26.22461,30.30246,28.8348,25.29585,22.5508,19.30661,21.48425,45.09285,13.9255,15.95771
"ENTPD3-AS1",6.32938,8.6666,7.59197,9.12414,6.03415,7.90227,9.46243,9.16029,4.83359,8.05435,6.42068,7.38248,5.90129,4.83349,3.6222,6.62253,7.07268,5.82047,5.70162,4.76409,4.51304,4.22455,4.96225,5.95155,3.3696,5.10417,4.88197,5.40889,4.42368,3.51574,7.89776,3.60325,5.24974,7.8761,4.39432,5.43389,4.96054,3.47816,6.00145,3.99253,4.80039,2.67159,3.82737,5.34886,5.26946,6.20074,4.60626,4.20899,5.75317
"ENTPD4",66.58717,55.35132,51.33616,55.78759,76.64433,75.32487,65.94734,52.9418,75.62557,52.45269,81.46813,54.35791,64.10758,55.82044,118.89066,93.14827,59.51637,113.22626,113.23585,30.8553,92.066,106.58199,99.86532,87.70701,103.61506,108.37863,96.13728,125.21373,84.93475,122.91202,75.66143,68.50309,95.23945,94.79118,84.6785,80.77779,102.32893,113.77359,43.15125,74.63927,91.72174,91.11058,87.10573,51.13512,92.23775,97.29049,114.83323,120.3145,55.39005
"ENTPD5",47.44465,39.55034,37.1335,33.57683,46.05011,42.5507,44.41549,43.64058,30.361,35.10104,43.36282,34.58341,37.36071,28.23103,124.66784,92.36914,92.04109,61.97887,102.29377,19.90234,80.10645,53.64304,57.77479,93.72121,91.2451,82.26227,50.36358,145.44384,58.35051,84.33143,95.90763,67.05351,57.95387,79.31696,63.32212,188.08576,51.82587,120.43657,37.82602,34.71399,94.3791,50.85242,57.45459,65.81239,42.6428,38.20879,42.87054,46.61235,64.04081
"ENTPD6",67.25613,87.9588,74.267,76.32993,61.87653,68.84095,80.43066,61.39746,72.45352,65.62801,76.30368,73.64903,63.89531,50.08868,72.07717,70.9866,45.61158,60.47828,74.83376,39.40395,72.43428,75.82195,68.98417,80.00132,75.32819,74.90375,57.87431,80.70749,67.19788,68.51061,67.19643,63.0361,79.36621,65.46429,60.5537,61.18838,70.01453,75.3881,52.57606,74.30306,78.2635,78.71991,64.00951,74.37057,57.21132,70.30417,61.17435,50.95567,73.02752
